Base Word,Guideword,Level,Part of Speech,Topic
fly,TRAVEL,A1,verb,travel
food,,A1,noun,food and drink
foot,BODY PART,A1,noun,body and health
football,BALL,A1,noun,shopping
for,GIVEN/USED,A1,preposition,
for,TIME/DISTANCE,A1,preposition,
for example,,A1,phrase,communication
for example,,A1,phrase,communication
four,,A1,number,
fourteen,,A1,number,
Friday,,A1,noun,
friend,PERSON YOU LIKE,A1,noun,relationships
from,ORIGIN,A1,preposition,describing things
from,STARTING PLACE,A1,preposition,describing things
from,TIME,A1,preposition,
from,DISTANCE,A1,preposition,
fruit,,A1,noun,food and drink
fun,PLEASURE,A1,noun,people: personality
funny,MAKING YOU LAUGH,A1,adjective,people: personality
game,ACTIVITY/SPORT,A1,noun,shopping
garden,LAND,A1,noun,buildings
get,RECEIVE,A1,verb,
get,OBTAIN,A1,verb,"people: actions, shopping"
"get a bus/train/taxi, etc.",,A1,phrase,travel
"get here/there/home/to work, etc.",,A1,phrase,travel
get (sb) up,,A1,phrasal verb,people: actions
girl,,A1,noun,people: appearance
give,PROVIDE,A1,verb,people: actions
glass,SUBSTANCE,A1,noun,describing things
glass,CONTAINER,A1,noun,food and drink
glasses,,A1,noun,clothes
go,MOVE/TRAVEL,A1,verb,travel
go,DO SOMETHING,A1,verb,travel
good,PLEASANT,A1,adjective,describing things
good,PLEASED,A1,adjective,communication
good,HIGH QUALITY,A1,adjective,describing things
good,HEALTHY,A1,adjective,body and health
good,SUCCESSFUL,A1,adjective,people: personality
good,KIND,A1,adjective,people: personality
good afternoon,,A1,exclamation,communication
goodbye,,A1,exclamation,communication
good evening,,A1,exclamation,communication
good for you,,A1,phrase,body and health
good morning,,A1,exclamation,communication
(Good) morning,,A1,phrase,communication
good night,,A1,exclamation,communication
go out,LEAVE,A1,phrasal verb,people: actions
go shopping,,A1,phrase,shopping
grass,,A1,noun,natural world
gray,COLOR,A1,adjective,describing things
great,EXCELLENT,A1,adjective,describing things
green,COLOR,A1,adjective,describing things
group,SET,A1,noun,
group,MUSIC,A1,noun,arts and media
guitar,,A1,noun,arts and media
hair,ON HEAD,A1,noun,people: appearance
hand,BODY PART,A1,noun,body and health
happy,PLEASED,A1,adjective,people: personality
"happy birthday/New Year, etc.",,A1,phrase,communication
hard,DIFFICULT,A1,adjective,
hard,USING EFFORT,A1,adverb,
hat,,A1,noun,clothes
have,POSSESS,A1,verb,
have,BE ILL,A1,verb,body and health
have,EAT/DRINK,A1,verb,food and drink
he,,A1,pronoun,
head,BODY,A1,noun,body and health
hear,RECEIVE SOUND,A1,verb,people: actions
hello,ON PHONE,A1,exclamation,communication
hello,GREETING,A1,exclamation,communication
help,DO PART OF WORK,A1,verb,people: actions
her,,A1,determiner,
her,,A1,pronoun,
here,THIS PLACE,A1,adverb,
hi,,A1,exclamation,communication
him,,A1,pronoun,
his,,A1,determiner,
holiday,NO WORK/SCHOOL,A1,noun,work
home,,A1,noun,buildings
homework,,A1,noun,education
horse,,A1,noun,animals
hospital,,A1,noun,"body and health, buildings"
hot,VERY WARM,A1,adjective,"describing things, natural world"
hotel,,A1,noun,"buildings, travel"
hour,60 MINUTES,A1,noun,
house,,A1,noun,buildings
how,QUANTITY,A1,adverb,
How are you?,,A1,phrase,communication
how many,,A1,phrase,communication
hungry,,A1,adjective,food and drink
husband,,A1,noun,relationships
I,,A1,pronoun,
"I am Spanish/a teacher, etc.",,A1,phrase,
ice cream,,A1,noun,food and drink
important,VALUABLE,A1,adjective,describing things
in,INSIDE,A1,preposition,describing things
in,DURING,A1,preposition,
inside,,A1,preposition,describing things
interesting,,A1,adjective,people: personality
in the morning,,A1,phrase,
into,IN,A1,preposition,describing things
invite,SOCIAL,A1,verb,communication
it,THING,A1,pronoun,
it,SUBJECT/OBJECT,A1,pronoun,
it rains/it is raining,,A1,phrase,natural world
its,,A1,determiner,
jacket,,A1,noun,clothes
January,,A1,noun,
jeans,,A1,noun,clothes
job,PAID EMPLOYMENT,A1,noun,work
juice,,A1,noun,food and drink
July,,A1,noun,
June,,A1,noun,
key,FOR LOCKS,A1,noun,buildings
kick,HIT,A1,verb,people: actions
kind,,A1,noun,
kitchen,,A1,noun,buildings
knife,,A1,noun,food and drink
know,HAVE INFORMATION,A1,verb,
know,ASK FOR INFORMATION,A1,verb,communication
language,"ENGLISH/SPANISH/JAPANESE, ETC.",A1,noun,communication
last night,,A1,phrase,
"last week/year/Monday, etc.",,A1,phrase,
late,NEAR THE END,A1,adjective,
late,AFTER,A1,adjective,
learn,GET KNOWLEDGE,A1,verb,education
leave,GO AWAY,A1,verb,"people: actions, travel"
leg,,A1,noun,body and health
lesson,TEACHING PERIOD,A1,noun,education
letter,MESSAGE,A1,noun,communication
life,TIME,A1,noun,
light,PALE,A1,adjective,describing things
like,ENJOY,A1,verb,people: personality
listen,HEAR,A1,verb,people: actions
little,SMALL,A1,adjective,describing things
little,YOUNG,A1,adjective,people: appearance
"live in/at, etc.",,A1,phrase,buildings
living room,,A1,noun,buildings
long,DISTANCE,A1,adjective,describing things
long,TIME,A1,adjective,
look,SEE,A1,verb,people: actions
look,SEARCH,A1,verb,people: actions
love,FRIENDS/FAMILY,A1,verb,"people: personality, relationships"
love,LIKE SOMETHING,A1,verb,people: personality
love,ROMANCE,A1,verb,"people: personality, relationships"
lunch,,A1,noun,food and drink
make,PRODUCE,A1,verb,people: actions
man,MALE,A1,noun,people: appearance
many,LARGE NUMBER,A1,determiner,describing things
March,,A1,noun,
May,,A1,noun,
me,,A1,pronoun,
meal,,A1,noun,food and drink
meat,,A1,noun,food and drink
meet,INTRODUCE,A1,verb,"people: actions, relationships"
meet,COME TOGETHER,A1,verb,people: actions
message,INFORMATION,A1,noun,communication
milk,,A1,noun,food and drink
minute,60 SECONDS,A1,noun,
Miss,,A1,noun,
mom,,A1,noun,relationships
Monday,,A1,noun,
money,,A1,noun,money
month,FOUR WEEKS,A1,noun,
month,PART OF YEAR,A1,noun,
more,IN ADDITION,A1,determiner,describing things
more,GREATER AMOUNT,A1,determiner,describing things
"more beautiful/difficult/easily, etc.",,A1,phrase,
morning,PART OF DAY,A1,noun,
mother,,A1,noun,relationships
mouth,,A1,noun,body and health
movie,PICTURE,A1,noun,arts and media
movie theater,,A1,noun,"arts and media, buildings"
Mr.,,A1,noun,
Mrs.,,A1,noun,
much,QUESTION,A1,determiner,describing things
museum,,A1,noun,buildings
music,SOUNDS,A1,noun,arts and media
my,,A1,determiner,
name,CALL,A1,noun,communication
nationality,,A1,noun,
near,DISTANCE,A1,preposition,describing things
need,MUST HAVE,A1,verb,
need to do sth,,A1,phrase,
never,NOT EVER,A1,adverb,
new,RECENTLY CREATED,A1,adjective,describing things
new,DIFFERENT,A1,adjective,
new,NOT KNOWN BEFORE,A1,adjective,
newspaper,TO READ,A1,noun,arts and media
"next week/year/Monday, etc.",,A1,phrase,
nice,PLEASANT,A1,adjective,describing things
nice,KIND,A1,adjective,people: personality
night,DARK PERIOD,A1,noun,
night,EVENING,A1,noun,
nine,,A1,number,
nineteen,,A1,number,
no,NEGATIVE ANSWER,A1,adverb,communication
no,NOT ANY,A1,determiner,describing things
noise,,A1,noun,
nose,ON FACE,A1,noun,body and health
not,"AFTER BE/CAN, ETC.",A1,adverb,
not,NEGATIVE WORD/S,A1,adverb,
note,LETTER,A1,noun,communication
"not very good/tall/happy, etc.",,A1,phrase,
November,,A1,noun,
now,AT PRESENT,A1,adverb,
number,SYMBOL,A1,noun,
number,TELEPHONE,A1,noun,communication
number,SHOWING SOMETHING,A1,noun,communication
October,,A1,noun,
of,BELONG,A1,preposition,
of,CONTAINING,A1,preposition,describing things
of,AMOUNT,A1,preposition,describing things
of,NUMBER,A1,preposition,describing things
of course,,A1,phrase,communication
of course,,A1,phrase,communication
often,REGULARLY,A1,adverb,
oh,EXPRESS EMOTION,A1,exclamation,communication
oh,NEW IDEA,A1,exclamation,communication
OK,AGREEING,A1,exclamation,communication
OK,"NOT SICK/UPSET, ETC.",A1,adjective,body and health
old,EXISTED MANY YEARS,A1,adjective,people: appearance
old,AGE,A1,adjective,people: appearance
on,SURFACE,A1,preposition,describing things
on,DAY/DATE,A1,preposition,
on,CONNECTED,A1,preposition,describing things
one,,A1,number,
"one/two/three, etc. o'clock",,A1,phrase,
only,NOT MORE,A1,adverb,
only,,A1,adjective,
open,DOING BUSINESS,A1,adjective,"shopping, work"
open,NOT CLOSED,A1,verb,people: actions
or,POSSIBILITIES,A1,conjunction,communication
orange,,A1,adjective,describing things
orange,FRUIT,A1,noun,food and drink
other,ADDITIONAL,A1,determiner,describing things
our,,A1,determiner,
outside,NOT IN BUILDING,A1,adverb,describing things
page,PAPER,A1,noun,arts and media
paint,,A1,noun,
paint,MAKE PICTURE,A1,verb,"arts and media, people: actions"
pair,TWO PEOPLE,A1,noun,
pants,,A1,noun,clothes
paper,FLAT MATERIAL,A1,noun,describing things
parent,,A1,noun,relationships
park,,A1,noun,natural world
part,PIECE,A1,noun,
party,EVENT,A1,noun,relationships
past,TIME,A1,preposition,
pay,GIVE MONEY,A1,verb,"money, shopping"
pen,,A1,noun,communication
pencil,,A1,noun,communication
people,,A1,noun,
person,HUMAN,A1,noun,
pet,,A1,noun,animals
phone,,A1,noun,"communication, technology"
photo,,A1,noun,arts and media
picnic,,A1,noun,food and drink
picture,"DRAWING, ETC.",A1,noun,arts and media
pig,,A1,noun,animals
pizza,,A1,noun,food and drink
place,SOMEWHERE,A1,noun,natural world
plane,,A1,noun,travel
plant,,A1,noun,natural world
plate,,A1,noun,food and drink
play,CHILDREN,A1,verb,"people: actions, shopping"
play,SPORTS,A1,verb,"people: actions, shopping"
player,SPORT/GAME,A1,noun,shopping
please,,A1,exclamation,communication
p.m.,,A1,adverb,
poor,NO MONEY,A1,adjective,money
possible,CAN HAPPEN,A1,adjective,
potato,,A1,noun,food and drink
practice,,A1,verb,
problem,DIFFICULT SITUATION,A1,noun,
"put sth down/in/on, etc.",,A1,phrase,people: actions
quarter,TIME,A1,noun,
question,ASKING,A1,noun,communication
quick,FAST,A1,adjective,
radio,EQUIPMENT,A1,noun,arts and media
rain,,A1,noun,natural world
read,WORDS,A1,verb,communication
reading,,A1,noun,communication
ready,PREPARED,A1,adjective,
really,VERY GREAT,A1,adverb,communication
red,COLOR,A1,adjective,describing things
refrigerator,,A1,noun,"food and drink, buildings"
remember,IN YOUR MIND,A1,verb,
restaurant,,A1,noun,"food and drink, buildings"
rice,,A1,noun,food and drink
ride,,A1,verb,"people: actions, travel"
right,CORRECT,A1,adjective,
river,,A1,noun,natural world
road,FOR DRIVING,A1,noun,travel
Road,,A1,phrase,
room,PART OF BUILDING,A1,noun,buildings
run,MOVE FAST,A1,verb,people: actions
sad,,A1,adjective,people: personality
safe,NOT IN DANGER,A1,adjective,
salt,,A1,noun,food and drink
same,NOT ANOTHER,A1,adjective,
sandwich,,A1,noun,food and drink
Saturday,,A1,noun,
say,SPEAK,A1,verb,communication
school,PLACE,A1,noun,"education, buildings"
second,AFTER FIRST,A1,number,
see,USE EYES,A1,verb,people: actions
see,MEET,A1,verb,communication
see you,,A1,phrase,communication
see you later,,A1,phrase,communication
"see you later/soon/tomorrow, etc.",,A1,phrase,communication
see you soon,,A1,phrase,communication
send,MAIL,A1,verb,"communication, people: actions"
sentence,WORD GROUP,A1,noun,communication
September,,A1,noun,
seven,,A1,number,
seventeen,,A1,number,
she,,A1,pronoun,
sheep,,A1,noun,animals
shirt,,A1,noun,clothes
shoe,,A1,noun,clothes
shopping,,A1,noun,"people: actions, shopping"
short,LENGTH/DISTANCE/HEIGHT,A1,adjective,"describing things, people: appearance"
short,TIME,A1,adjective,
show,MAKE SEEN,A1,verb,people: actions
shower,WASH,A1,noun,people: actions
shower,BATHROOM EQUIPMENT,A1,noun,buildings
sing,,A1,verb,"arts and media, people: actions"
sister,,A1,noun,relationships
sit,BODY POSITION,A1,verb,
six,,A1,number,
sixteen,,A1,number,
skirt,,A1,noun,clothes
sleep,NOT AWAKE,A1,verb,
slim,THIN,A1,adjective,people: appearance
slow,NOT FAST,A1,adjective,
small,LITTLE,A1,adjective,describing things
small,YOUNG,A1,adjective,people: appearance
smoke,,A1,verb,people: actions
smoking,,A1,noun,people: actions
snow,,A1,noun,natural world
some,UNKNOWN AMOUNT,A1,determiner,describing things
some,NOT ALL,A1,pronoun,describing things
some,UNKNOWN AMOUNT,A1,pronoun,describing things
something,THING,A1,pronoun,describing things
sometimes,,A1,adverb,
son,,A1,noun,relationships
sorry,APOLOGY,A1,adjective,communication
soup,,A1,noun,food and drink
speak,SAY WORDS,A1,verb,communication
speak,LANGUAGE,A1,verb,communication
sport,GAME,A1,noun,shopping
start,BEGIN,A1,verb,people: actions
station,BUILDING,A1,noun,"buildings, travel"
stay,NOT LEAVE,A1,verb,
stop,FINISH,A1,verb,people: actions
stop,PLACE,A1,noun,travel
store,PLACE TO BUY,A1,noun,"buildings, shopping"
street,,A1,noun,travel
Street,,A1,phrase,
student,,A1,noun,education
study,SCHOOL/COLLEGE,A1,verb,"education, people: actions"
subject,STUDY,A1,noun,education
subway,TRAIN,A1,noun,travel
sugar,,A1,noun,food and drink
summer,,A1,noun,natural world
sun,,A1,noun,natural world
Sunday,,A1,noun,
supermarket,,A1,noun,"buildings, shopping"
sweet,TASTE,A1,adjective,food and drink
swim,,A1,verb,"people: actions, shopping"
swimming pool,,A1,noun,"buildings, shopping"
table,FURNITURE,A1,noun,buildings
take,CARRY,A1,verb,people: actions
take,GO WITH SOMEONE,A1,verb,people: actions
take a picture/photo(graph),,A1,phrase,people: actions
talk,SAY,A1,verb,communication
tall,GREATER HEIGHT,A1,adjective,"describing things, people: appearance"
taxi,,A1,noun,travel
tea,DRINK,A1,noun,food and drink
teach,GIVE LESSONS,A1,verb,"education, people: actions"
teacher,,A1,noun,"education, work"
television,EQUIPMENT,A1,noun,"arts and media, technology"
television,PROGRAMS,A1,noun,arts and media
tell,SPEAK,A1,verb,communication
ten,,A1,number,
tennis,,A1,noun,shopping
test,EXAM,A1,noun,education
than,COMPARING,A1,preposition,
thanks,THANK YOU,A1,exclamation,communication
thank you,GRATEFUL,A1,exclamation,communication
that,ALREADY MENTIONED,A1,determiner,
that,CAN BE SEEN,A1,determiner,
that,CAN BE SEEN,A1,pronoun,
that,ALREADY MENTIONED,A1,pronoun,
(that's) fine,,A1,phrase,communication
the,ONLY ONE,A1,determiner,
the,PARTICULAR,A1,determiner,
the,PLACE,A1,determiner,
the Internet,,A1,noun,technology
their,BELONGING TO GROUP,A1,determiner,
them,GROUP,A1,pronoun,
the movies,,A1,phrase,arts and media
then,AT THAT TIME,A1,adverb,
then,NEXT,A1,adverb,
the present,,A1,phrase,
the radio,,A1,phrase,arts and media
there,DIRECTION,A1,adverb,
there,PLACE,A1,adverb,
"There is/are/was, etc.",,A1,phrase,
"there is/there are/there was, etc.",,A1,phrase,describing things
the same,,A1,phrase,describing things
these,,A1,determiner,
they,GROUP,A1,pronoun,
thing,OBJECT,A1,noun,
things,,A1,phrase,
think,BELIEVE TO BE TRUE,A1,verb,people: personality
think,OPINION,A1,verb,people: personality
thirteen,,A1,number,
this,ALREADY MENTIONED,A1,determiner,
this,CAN BE SEEN,A1,determiner,
this,TIME,A1,determiner,
those,,A1,determiner,
three,,A1,number,
Thursday,,A1,noun,
ticket,,A1,noun,"money, travel"
time,PARTICULAR POINT,A1,noun,
tired,WANTING REST,A1,adjective,people: personality
to,INFINITIVE,A1,preposition,
to,PLACE,A1,preposition,describing things
to,TELLING THE TIME,A1,preposition,
today,THIS DAY,A1,adverb,
today,THIS DAY,A1,noun,
together,WITH EACH OTHER,A1,adverb,relationships
toilet,CONTAINER,A1,noun,buildings
tomato,,A1,noun,food and drink
tomorrow,,A1,adverb,
tomorrow,DAY AFTER TODAY,A1,noun,
tonight,,A1,adverb,
too,ALSO,A1,adverb,
"too small/hard/much, etc.",,A1,phrase,describing things
tooth,IN MOUTH,A1,noun,body and health
town,PLACE,A1,noun,natural world
train,,A1,noun,travel
travel,MAKE JOURNEY,A1,verb,"people: actions, travel"
tree,,A1,noun,natural world
T-shirt,,A1,noun,clothes
Tuesday,,A1,noun,
TV,,A1,noun,"arts and media, technology"
twelve,,A1,number,
twenty,NUMBER,A1,number,
two,NUMBER,A1,number,
under,LOWER POSITION,A1,preposition,describing things
understand,KNOW MEANING,A1,verb,
university,,A1,noun,education
until,TIME,A1,preposition,
up,VERTICAL,A1,adverb,
us,,A1,pronoun,
use,PURPOSE,A1,verb,people: actions
vacation,,A1,noun,travel
vegetable,,A1,noun,food and drink
very,EMPHASIS,A1,adverb,communication
very much,,A1,phrase,describing things
very much,,A1,phrase,describing things
village,,A1,noun,natural world
visit,SEE A PERSON,A1,verb,people: actions
visit,SEE A PLACE,A1,verb,"people: actions, travel"
wait,STAY,A1,verb,people: actions
waiter,,A1,noun,"food and drink, work"
waitress,,A1,noun,"food and drink, work"
wake (sb) up or wake up (sb),,A1,phrasal verb,people: actions
walk,,A1,verb,people: actions
wall,,A1,noun,buildings
want,,A1,verb,people: personality
warm,TEMPERATURE,A1,adjective,natural world
wash,CLEAN THING,A1,verb,people: actions
wash up,,A1,phrasal verb,people: actions
watch,LOOK AT,A1,verb,people: actions
watch,,A1,noun,clothes
water,LIQUID,A1,noun,natural world
we,GROUP,A1,pronoun,
wear,CLOTHES,A1,verb,clothes
weather,"WIND, RAIN, ETC.",A1,noun,natural world
Web site,,A1,noun,technology
Wednesday,,A1,noun,
week,SEVEN DAYS,A1,noun,
week,MONDAY TO FRIDAY,A1,noun,
weekend,,A1,noun,
well,IN A GOOD WAY,A1,adverb,
well,HEALTHY,A1,adjective,body and health
well,EXPRESSING DOUBT,A1,exclamation,communication
what,QUESTION,A1,pronoun,
what,QUESTION,A1,determiner,
what does sb do?,,A1,phrase,work
when,,A1,adverb,
where,,A1,adverb,
which,,A1,determiner,
white,COLOR,A1,adjective,describing things
who,NAME,A1,pronoun,
why,ASK ABOUT REASON,A1,adverb,
wife,,A1,noun,relationships
will,ABLE/WILLING,A1,modal verb,
wind,,A1,noun,natural world
window,GLASS,A1,noun,buildings
wine,,A1,noun,food and drink
winter,,A1,noun,natural world
with,TOGETHER,A1,preposition,
with,HAVING,A1,preposition,describing things
woman,,A1,noun,people: appearance
word,LANGUAGE UNIT,A1,noun,communication
work,JOB,A1,noun,work
work,PLACE,A1,noun,work
work,DO JOB,A1,verb,"people: actions, work"
world,THE EARTH,A1,noun,natural world
would like sth/to do sth,,A1,phrase,people: personality
would like sth/to do sth,,A1,phrase,communication
Would you like ...?,,A1,phrase,communication
Would you like...?,,A1,phrase,communication
write,PRODUCE,A1,verb,"communication, people: actions"
writing,SKILL,A1,noun,communication
wrong,NOT CORRECT,A1,adjective,
