Word,Level,Guideword,Part of Speech,Topic
deterrent,C2,,noun,
detrimental,C2,,adjective,
devastate,C1,,adjective,people: personality
devastating,C1,SHOCKING,adjective,
devastation,C2,,noun,describing things
develop,B1,CHANGE,verb,
developer,C1,PRODUCTS,noun,"technology, work"
development,B1,CHANGE,noun,
device,B2,EQUIPMENT,noun,technology
devil,B2,EVIL BEING,noun,
devise,C2,,verb,
devote,B2,,adjective,people: personality
devote to,B2,USE SPACE,phrasal verb,people: actions
devote yourself to,C1,,phrasal verb,people: actions
diagnose,C2,,verb,body and health
diagnosis,C2,,noun,body and health
diagram,B1,,noun,communication
dial,B1,,verb,"communication, people: actions, technology"
dialect,C2,,noun,communication
dialogue,B2,"IN BOOK, ETC.",noun,"arts and media, communication"
diamond,B2,STONE,noun,natural world
diarrhea,C2,,noun,body and health
diary,A2,,noun,
dice,C2,,noun,shopping
dictate,C1,,verb,
dictionary,A1,,noun,education
die,A1,STOP LIVING,verb,
die down,C2,,phrasal verb,
die for,B1,,phrase,people: personality
die out,B2,,phrasal verb,
diesel,C1,,noun,travel
diet,B1,USUAL FOOD,noun,"body and health, food and drink"
differ,B2,,verb,
difference,A2,WAY,noun,
different,A1,NOT THE SAME,adjective,describing things
differentiate,C1,SEE DIFFERENCE,verb,
differently,B1,,adverb,
difficult,A1,NOT EASY,adjective,
difficulty,B1,NOT EASY,noun,
dig,B1,MOVE SOIL,verb,people: actions
dig a hole,B2,,phrase,people: actions
digest,C1,INFORMATION,verb,
digestion,C1,,noun,body and health
digital,A2,SYSTEM,adjective,technology
digital camera,A2,,noun,"arts and media, technology"
dignified,C2,,adjective,people: personality
dignity,C2,,noun,people: personality
dilemma,B2,,noun,
dim,C2,NOT BRIGHT,adjective,
dime,C1,,noun,money
dimension,B2,ASPECT,noun,
diminish,C1,,verb,
dining room,A1,,noun,buildings
dinner,A1,,noun,food and drink
dinosaur,A2,,noun,animals
dip,B2,PUT INTO LIQUID,verb,people: actions
diploma,A2,,noun,education
diplomacy,C2,COUNTRIES,noun,politics
diplomat,B2,,noun,"politics, work"
diplomatic,C1,GOVERNMENTS,adjective,politics
diplomatically,C2,,adverb,"people: personality, politics"
direct,B1,STRAIGHT,adjective,
direct against,C1,,phrase,
direction,A2,,noun,communication
directly,B1,NOTHING BETWEEN,adverb,
director,B1,MANAGER,noun,work
directory,C1,,noun,
dirt,B1,,noun,
dirty,A2,,adjective,describing things
disability,B2,,noun,body and health
disabled,B1,,adjective,body and health
disadvantage,B1,MAKING DIFFICULT,noun,
disadvantaged,C1,,adjective,
disagree,B1,,verb,communication
disagreement,B2,,noun,communication
disappear,B1,NOT SEE,verb,
disappear into thin air,C2,IDIOM,phrase,
disappearance,B2,,noun,
disappoint,B1,,verb,people: personality
disappointing,B1,,adjective,people: personality
disappointment,B1,PERSON/THING,noun,people: personality
disapproval,C1,,noun,people: personality
disapprove,B2,,verb,people: personality
disaster,B2,FAILURE,noun,
disastrous,C1,,adjective,describing things
disc jockey,B1,,noun,"arts and media, work"
discipline,B2,RULES,noun,education
disclose,C2,,verb,
disco,A2,,noun,
discomfort,C1,SITUATION,noun,
discontent,C1,,noun,
discount,A2,,noun,"money, shopping"
discourage,B2,MAKE LESS CONFIDENT,verb,communication
discourage from do,B2,,phrase,communication
discover,B1,,verb,people: actions
discovery,B2,FINDING,noun,people: actions
discreet,C2,,adjective,
discretion,C2,,noun,
discriminate,C1,TREAT UNFAIRLY,verb,
discrimination,C1,,noun,
discuss,A2,,verb,communication
discussion,B1,,noun,communication
disease,B1,,noun,body and health
disgrace,B2,LOSS OF RESPECT,noun,people: personality
disguise,B2,,noun,"clothes, people: appearance"
disgust,C1,,adjective,
disgusting,B1,,adjective,describing things
dish,A2,FOOD,noun,food and drink
dishonest,B2,,adjective,people: personality
dishonestly,C1,,adverb,people: personality
dishonesty,B2,,noun,people: personality
dishwasher,B1,,noun,food and drink
disillusion,C2,,adjective,
disk,B1,COMPUTER STORAGE,noun,technology
dislike,B1,,verb,people: personality
disloyal,C2,,adjective,
dismay,C2,,noun,
dismiss,C1,NOT CONSIDER,verb,
dismissal,C1,IDEA,noun,
disorder,C1,ILLNESS,noun,body and health
disorganized,B2,OF SOMETHING,adjective,
displace,C1,,verb,
displacement,C1,,noun,
display,B1,ARRANGEMENT,noun,arts and media
disposable,C2,,adjective,
disposable income,C2,,noun,money
disposal,B2,REMOVAL,noun,people: actions
dispose of,C1,,phrasal verb,
dispose to do,C2,,phrase,
disposition,C2,,noun,people: personality
dispute,C2,,noun,communication
disqualify,C2,,verb,
disrespect,C1,,noun,people: personality
disrespectful,C2,,adjective,people: personality
disrupt,B2,,verb,people: actions
disruption,C1,,noun,
disruptive,C2,,adjective,
dissatisfaction,B2,,noun,people: personality
dissatisfy,B2,,adjective,people: personality
dissertation,C1,,noun,education
dissolve,C1,END,verb,
distance,B1,LENGTH,noun,describing things
distant,B2,FAR AWAY,adjective,describing things
distinct,C1,DIFFERENT,adjective,
distinction,B2,DIFFERENCE,noun,
distinctive,C1,,adjective,
distinguish,B2,RECOGNIZE DIFFERENCES,verb,people: actions
distinguished,B2,,adjective,people: personality
distort,C1,,verb,
distract,B2,,verb,people: actions
distraction,C1,NO ATTENTION,noun,
distress,C1,UPSET,noun,people: personality
distressed,C1,,adjective,
distressing,B2,,adjective,people: personality
distribute,B2,GIVE OUT,verb,people: actions
distribution,C1,SUPPLYING,noun,
district,B1,,noun,natural world
disturb,B2,INTERRUPT,verb,people: actions
disturbance,C1,INTERRUPTION,noun,
disturbing,C2,,adjective,
dive,B1,ENTER WATER,verb,"people: actions, shopping"
dive into,C2,,phrasal verb,
diver,B1,,noun,shopping
diverse,B2,,adjective,
diversity,C1,,noun,
divert,C2,CHANGE ROUTE,verb,travel
divert 's attention,C1,,phrase,
divide,B1,SEPARATE,verb,people: actions
divide among,C1,,phrase,people: actions
diving,B1,,noun,"people: actions, shopping"
division,B2,PART,noun,
divorce,B1,,noun,relationships
dizzy,B2,,adjective,body and health
dj,B1,,noun,"arts and media, work"
dna,C2,,noun,
do,A1,QUESTIONS/NEGATIVES,auxiliary verb,
do a good,B2,,phrase,people: actions
do a world of good,C2,,phrase,
do away with,C1,,phrasal verb,
do badly,B1,,phrase,education
do by the book,C2,IDIOM,phrase,
do damage,B2,,phrase,people: actions
do everything in your power to do,C1,,phrase,
do good,B2,,phrase,
do not ask,B2,,phrase,communication
do not ask I,B2,,phrase,communication
do not forget,A1,,phrase,communication
do not get I wrong,C2,,phrase,
do not hesitate to do,B2,,phrase,communication
do not need to do,A2,,phrase,
do not she,A2,,phrase,communication
do not worry,A1,,phrase,communication
do not you,A2,,phrase,communication
do not you dare,C2,,phrase,communication
do or put off,B1,,phrasal verb,people: actions
do she,A2,,phrase,communication
do the cleaning,A1,,phrase,people: actions
do the job,C2,IDIOM,phrase,
do the trick,C2,,phrase,
do to excess,C2,,phrase,
do up or do up,B2,,phrasal verb,people: actions
do without,B2,,phrasal verb,
do you,A2,,phrase,communication
do you mind,A2,,phrase,communication
do your good,B1,,phrase,
do your hair,B1,,phrase,"people: actions, people: appearance"
do your own thing,C2,IDIOM,phrase,
do your utmost,C1,,phrase,
dock,C1,,noun,
doctor,A1,,noun,"body and health, work"
document,A2,OFFICIAL INFORMATION,noun,communication
documentary,B1,,noun,arts and media
dog,A1,,noun,animals
dog lover,B1,,phrase,people: personality
dole out,C2,,phrasal verb,
doll,A1,,noun,shopping
dollar,A1,,noun,money
dolphin,B1,,noun,animals
domain,C1,,noun,
domestic,B2,HOME,adjective,buildings
dominance,C2,,noun,
dominant,C1,IMPORTANT,adjective,
dominate,B2,HAVE CONTROL,verb,people: actions
domination,C1,,noun,
donate,B2,GIVE MONEY,verb,"money, people: actions"
donation,B2,,noun,"money, people: actions"
donkey,B1,,noun,animals
donor,C2,BLOOD/ORGANS,noun,body and health
doom,C2,,noun,
doom and gloom,C2,,phrase,
door,A1,,noun,buildings
doorway,C2,,noun,buildings
dose,B2,MEDICINE,noun,body and health
dot,B1,INTERNET,noun,technology
double,A2,,adjective,describing things
doubt,B1,NOT CERTAIN,noun,people: personality
doubtful,B2,NOT CERTAIN,adjective,people: personality
down,A1,SURFACE,adverb,describing things
down - to - earth,C1,,adjective,
down and out,C2,IDIOM,phrase,
down in the dump,C2,IDIOM,phrase,
down the drain,C2,IDIOM,phrase,
down the line,C2,IDIOM,phrase,
downhill,C2,TOWARD BOTTOM,adverb,
download,A2,,verb,"people: actions, technology"
downside,C1,,noun,
downstairs,A2,,adverb,buildings
downtown,A2,,adverb,
downward,C1,,adjective,
dozen,B1,,noun,describing things
dr .,A2,,noun,work
draft,B2,WRITING,noun,communication
drag,B1,COMPUTER,verb,"people: actions, technology"
drag along,C2,,phrase,people: actions
drag and drop,B1,,phrase,"people: actions, technology"
drain,C2,REMOVE LIQUID,verb,
drama,B1,THEATER,noun,arts and media
dramatic,B2,,adjective,
dramatically,B2,,adverb,
drastic,C1,,adjective,
drastically,C1,,adverb,
draw,A1,PICTURE,verb,"arts and media, people: actions"
draw a comparison,C2,,phrase,
draw a conclusion,B2,,phrase,
draw attention to,B2,,phrase,
draw into,B2,,phrase,people: actions
draw near,B2,,phrase,
draw on,C1,,phrasal verb,
draw the line,C2,IDIOM,phrase,
draw to a close,C2,,phrase,
draw up or draw up,C1,,phrasal verb,
drawback,C1,,noun,
drawer,A2,,noun,buildings
drawing,A2,,noun,"arts and media, people: actions"
dread,C2,,verb,
dreadful,B2,,adjective,describing things
dream,A2,SLEEP,noun,
dress,A1,,noun,clothes
dresser,A2,,noun,"clothes, buildings"
drift,C2,SITUATION,verb,
drift across,C2,,phrase,
drift apart,C2,,phrasal verb,
drift off,C2,,phrasal verb,
drink,A1,LIQUID,noun,food and drink
drive,A1,USE VEHICLE,verb,"people: actions, travel"
drive crazy,B2,,phrase,people: personality
drive to drive to do,C1,,phrase,
driver,A2,,noun,"travel, work"
driver 's license,A2,,noun,travel
drop,B1,FALL,verb,people: actions
drop dead,C2,,phrase,
drop it,C2,,phrase,communication
drought,C2,,noun,
drown,B2,DIE,verb,
drug,B2,MEDICINE,noun,body and health
drugstore,B1,,noun,"body and health, shopping"
drum,A2,,noun,arts and media
drunk,B2,,adjective,food and drink
dry,A2,NO RAIN,adjective,natural world
dry up,C2,,phrasal verb,
dual,C1,,adjective,
dubious,C2,NOT TRUE,adjective,
duck,A2,,noun,animals
due,B1,EXPECTED,adjective,
due for,C1,,phrase,
due to,B1,,phrase,communication
dull,B1,BORING,adjective,
dumb,B2,STUPID,adjective,people: personality
dump,C1,GET RID OF,verb,
dump on,C2,,phrase,people: actions
duration,C1,,noun,
during,A2,AT SOME TIME IN,preposition,
dust,B1,,noun,
dusty,B1,,adjective,
duty,B1,RIGHT THING TO DO,noun,
duty - free,B1,,adjective,"money, shopping"
dvd,A1,,noun,technology
dwell on,C1,,phrasal verb,
dynamic,B2,ACTIVE,adjective,people: personality
e - mail,A1,SYSTEM,noun,"communication, technology"
each,A1,,pronoun,
each other,A2,,phrase,
eager,B2,,adjective,people: personality
eagerly,B2,,adverb,people: personality
eagerness,B2,,noun,people: personality
eagle,B2,,noun,animals
ear,A1,BODY PART,noun,body and health
earache,B1,,noun,body and health
early,A1,BEGINNING,adverb,
early on,C2,,phrase,
earn,A2,RECEIVE,verb,"money, work"
earn a living,B2,,phrase,
earning,B2,,noun,"money, work"
earre,A2,,noun,clothes
earth,B1,PLANET,noun,natural world
earthquake,B2,,noun,natural world
ease,B2,NOT DIFFICULT,noun,
easier say than do,C1,IDIOM,phrase,
easily,A1,,phrase,
easily the good,C2,,phrase,
east,A2,DIRECTION,noun,
eastern,B1,EAST PART,adjective,
easy,A1,,adjective,
easygoing,B1,,adjective,people: personality
eat,A1,SWALLOW FOOD,verb,"food and drink, people: actions"
eat out,B1,,phrasal verb,"food and drink, people: actions"
eat up or eat up,B2,,phrasal verb,"food and drink, people: actions"
eccentric,C2,,adjective,people: personality
echo,C2,SOUND,verb,
ecological,B2,,adjective,natural world
ecologically,B2,,adverb,natural world
ecology,C1,,noun,natural world
economic,B1,,noun,"education, money"
economical,B2,,adjective,money
economist,B2,,noun,"education, money, work"
economy,B2,,noun,money
edge,B1,OUTER POINT,noun,
edible,C1,,adjective,
edit,B2,,verb,"communication, people: actions"
edition,B2,,noun,arts and media
editor,B2,,noun,"arts and media, work"
educate,B2,TEACH,verb,"education, people: actions"
education,B1,,noun,education
educational,B2,,adjective,education
effect,B1,RESULT,noun,
effective,B2,,adjective,
effectively,B2,,adverb,
effectiveness,C1,,noun,
efficiency,B2,,noun,
efficient,B1,,adjective,
efficiently,B2,,adverb,
effort,B1,ATTEMPT,noun,people: actions
egg,A1,FOOD,noun,food and drink
eggplant,B2,,noun,food and drink
eight,A1,,number,
eighteen,A1,,number,
eighth,A2,,number,
eighty,A2,,number,
either,B1,,adverb,
either side,B2,,phrase,
either way,B1,,phrase,
elaborate,C2,,adjective,describing things
elapse,C2,,verb,
elated,C2,,adjective,people: personality
elbow,B1,,noun,body and health
eld child,B1,,phrase,"people: appearance, relationships"
eld sister,B1,,phrase,"people: appearance, relationships"
elderly,B1,,adjective,people: appearance
elect,B2,,verb,"people: actions, politics"
election,B1,,noun,politics
electric,A2,EQUIPMENT,adjective,technology
electrical,B1,USING ELECTRICITY,adjective,technology
electrician,B2,,noun,"technology, work"
electricity,A2,,noun,technology
electronic,B1,EQUIPMENT,adjective,technology
electronically,B2,,adverb,technology
elegance,C1,,noun,people: appearance
elegant,B2,,adjective,people: appearance
elegantly,B2,,adverb,people: appearance
element,B2,PART,noun,
elementary,B1,,adjective,education
elementary school,B1,,noun,
elephant,A2,,noun,animals
elevator,A2,,noun,buildings
eleven,A1,,number,
eligible,C1,,adjective,
eliminate,C1,GET RID OF,verb,
elimination,C2,,noun,
elite,C1,,noun,
else,A2,IN ADDITION,adverb,describing things
elsewhere,B2,,adverb,
elusive,C2,,adjective,
embarrass,B1,,adjective,people: personality
embarrassing,B1,,adjective,people: personality
embarrassment,B2,,noun,people: personality
embassy,B1,,noun,"buildings, politics"
embody,C2,,verb,
embrace,C1,ACCEPT,verb,
emerge,B2,APPEAR,verb,
emergency,B1,,noun,
eminent,C2,,adjective,people: personality
emission,C1,,noun,
emit,C2,,verb,
emotion,B2,,noun,people: personality
emotional,B2,EMOTIONS,adjective,people: personality
emotionally,B2,,adverb,people: personality
empathy,C2,,noun,people: personality
emperor,C1,,noun,
emphasis,B2,,noun,communication
emphasize,B2,,verb,communication
empire,C1,COUNTRIES,noun,
empirical,C2,,adjective,
employ,B1,JOB,verb,"people: actions, work"
employee,B1,,noun,work
employer,B1,,noun,work
employment,B1,,noun,work
empty,A2,NOTHING INSIDE,adjective,
enable,B2,,verb,people: actions
enclose,B2,SEND,verb,"communication, people: actions"
encounter,B2,,verb,
encourage,B1,MAKE MORE LIKELY,verb,communication
encouragement,B2,,noun,communication
encouraging,B2,,adjective,people: personality
end,A1,FINAL PART,noun,
end up,B1,,phrasal verb,
endangered,B2,,adjective,"animals, natural world"
endeavor,C2,,noun,
endeavor to do,C1,,phrase,
endless,B2,,adjective,
endorse,C2,,verb,
endow with,C2,,phrase,
endurance,C2,,noun,
endure,B2,,verb,people: personality
enemy,B1,PERSON,noun,relationships
energetic,B2,,adjective,people: personality
energy,B1,STRENGTH,noun,
enforce,C1,,verb,
engage,B1,,adjective,relationships
engage in,C2,,phrasal verb,
engine,A2,,noun,"technology, travel"
engineer,A2,,noun,"technology, work"
engineering,B1,,noun,"education, technology, work"
engross,C2,,adjective,
enhance,C1,,verb,
enjoy,A1,PLEASURE,verb,people: personality
enjoy yourself,A2,,phrase,people: personality
enjoyable,B1,,adjective,people: personality
enjoyment,B2,,noun,people: personality
enormous,B1,,adjective,describing things
enough,A2,NECESSARY AMOUNT,determiner,describing things
enough be enough,C2,,phrase,
enrich,C1,,verb,
enter,A2,PLACE,verb,"people: actions, travel"
enterprise,C1,BUSINESS,noun,work
entertain,B1,,verb,"arts and media, people: actions"
entertainer,B2,,noun,"arts and media, work"
entertainment,B1,,noun,arts and media
enthusiasm,B2,,noun,people: personality
enthusiastic,B2,,adjective,people: personality
enthusiastically,B2,,adverb,people: personality
entire,B2,,adjective,describing things
entirely,B2,,adverb,communication
entitle,B2,,verb,
entity,C2,,noun,
entrance,A2,DOOR,noun,buildings
entry,B1,INFORMATION,noun,communication
envelope,A2,,noun,communication
environment,B2,SURROUNDINGS,noun,
environmental,B1,,adjective,natural world
environmentalist,C1,,noun,
environmentally,B2,,adverb,natural world
environmentally friendly,B2,,adjective,natural world
envision,C1,,verb,
envy,B2,,verb,people: personality
episode,B2,EVENT,noun,
equal,B1,"SAME AMOUNT/NUMBER, ETC.",adjective,describing things
equality,B2,,noun,
equally,B2,SAME WAY,adverb,
equate,C2,,verb,
equation,C1,,noun,
equip,B2,,verb,technology
equipment,B1,,noun,technology
equivalent,C1,,adjective,
era,B2,,noun,
eradicate,C2,,verb,
erase,B2,,verb,communication
eraser,A1,,noun,
erode,C2,DESTROY,verb,
erosion,C1,PHYSICAL DAMAGE,noun,
error,B2,,noun,
erupt,C2,,verb,natural world
escalator,B2,,noun,buildings
escape,B1,GET AWAY,verb,people: actions
especially,A2,,adverb,communication
essay,B1,,noun,"communication, education"
essence,C2,BASIC QUALITY,noun,
essential,B1,NECESSARY,adjective,
essentially,B2,,adverb,
establish,B2,START,verb,"people: actions, work"
establish communication,C1,,phrase,
establishment,C1,,noun,work
estate,B2,LAND,noun,
estimate,B2,,verb,people: actions
etc .,B1,,phrase,
ethic,C2,BELIEF,noun,
ethical,C2,RIGHT/WRONG,adjective,
ethnic,C1,,adjective,
euro,A2,,noun,money
evaluate,C1,,verb,
evaluation,C1,,noun,
even,A2,SURPRISE,adverb,
even if,B2,,phrase,communication
even so,C1,,phrase,
even though,B2,,phrase,communication
evening,A1,,noun,
event,B1,HAPPENING,noun,
eventful,C2,,adjective,
eventual,C2,,adjective,
eventually,B2,,adverb,
ever,A2,AT ANY TIME,adverb,
ever change,C2,,phrase,
ever since,B1,,phrase,
every,A1,EACH,determiner,describing things
every now and then,C1,,phrase,
every once in a while,C2,,phrase,
every other day,C2,,phrase,
every single,B1,,phrase,
every so often,C2,,phrase,
everybody,A2,,pronoun,
everyone,A2,,pronoun,
everything,A2,,pronoun,describing things
everywhere,A2,,adverb,
evidence,B2,PROOF,noun,
evident,B2,,adjective,
evidently,B2,,adverb,
evil,B2,,adjective,people: personality
evolution,B2,NATURAL WORLD,noun,natural world
evolve,C1,,verb,
exact,B1,,adjective,describing things
exactly,A2,COMPLETELY CORRECT,adverb,describing things
exaggerate,C1,,verb,
exaggeration,C1,,noun,
exam,A2,,noun,education
examination,A2,TEST,noun,education
examine,B2,LOOK AT,verb,people: actions
example,A1,TYPICAL CASE,noun,
exceed,C1,BE MORE,verb,
exceed 's expectation,C1,,phrase,
exceed the speed limit,C1,,phrase,
excel,C2,,verb,
excellent,A2,,adjective,describing things
excellent job,B2,,phrase,people: actions
except,A2,NOT INCLUDING,preposition,
except that,B1,,phrase,
exception,B2,,noun,
exceptional,B2,GOOD,adjective,describing things
exceptionally,C1,,adverb,
excess,C1,,noun,
excessive,C1,,adjective,
exchange,B1,STUDENTS,noun,education
exchange look opinion view,B2,,phrase,communication
exchange rate,B1,,noun,money
excited,A1,,adjective,people: personality
excitedly,B1,,adverb,people: personality
excitement,B1,,noun,people: personality
exciting,A1,,adjective,people: personality
exclaim,C2,,verb,communication
exclamation point,B2,,noun,communication
exclude,C1,KEEP OUT,verb,
exclusive,B2,EXPENSIVE,adjective,
exclusively,C1,,adverb,
excuse,B1,FORGIVE,verb,communication
excuse I,A1,ATTRACTING ATTENTION,phrase,communication
execute,C2,KILL,verb,
executive,C1,,adjective,work
exemplify,C2,,verb,
exercise,A2,PHYSICAL ACTIVITY,noun,"body and health, people: actions, shopping"
exhaust,B1,,adjective,people: personality
exhausting,B2,,adjective,people: personality
exhaustion,B2,,noun,people: personality
exhaustive,C1,,adjective,
exhibit,C1,SHOW OBJECTS,verb,
exhibition,B1,,noun,arts and media
exile,C2,,noun,
exist,B1,BE REAL,verb,
existence,B2,,noun,
exit,A2,WAY OUT,noun,buildings
exotic,B2,,adjective,
expand,B2,,verb,
expansion,B2,,noun,
expect,B1,,phrase,
expectation,B2,,noun,people: personality
expedition,B1,,noun,travel
expenditure,C2,,noun,money
expense,B2,MONEY SPENT,noun,money
expensive,A1,,adjective,"money, shopping"
experience,B1,KNOWLEDGE,noun,people: personality
experiment,B1,,noun,people: actions
experimental,C2,,adjective,
expert,B1,,noun,"people: personality, work"
expire,C2,,verb,
explain,A2,,verb,communication
explanation,B1,,noun,communication
explicit,C2,CLEAR,adjective,
explode,B1,,verb,
exploit,B2,USE UNFAIRLY,verb,people: actions
exploration,C1,,noun,
explore,B1,LOOK AROUND,verb,people: actions
explosion,B2,BOMB,noun,
explosive,C2,SITUATION,adjective,
export,B2,,verb,"people: actions, shopping, work"
expose,B2,MAKE PUBLIC,verb,communication
expose to,B2,,phrase,
exposure,C1,,noun,
express,B2,,verb,communication
expression,B2,PHRASE,noun,communication
expressive,C2,,adjective,people: personality
exquisite,C2,,adjective,
extend,B2,,verb,people: actions
extension,B2,EXTRA TIME,noun,
extensive,B2,,adjective,describing things
extent,B2,SIZE,noun,describing things
exterior,C1,,noun,
external,B2,FROM A DIFFERENT PLACE,adjective,
extinct,C1,,adjective,"animals, natural world"
extinction,C1,,noun,"animals, natural world"
extra,A2,,adjective,describing things
extract,B2,,verb,people: actions
extraordinarily,B2,,adverb,communication
extraordinary,B1,,adjective,describing things
extravagant,C2,,adjective,money
extreme,B2,VERY LARGE,adjective,describing things
extreme sport,B1,,noun,shopping
extremely,B1,,adverb,communication
extremist,C2,,noun,politics
extrovert,C1,,noun,people: personality
eye,A1,BODY PART,noun,body and health
eye contact,C2,,phrase,
eyebrow,B2,,noun,body and health
eyelash,B2,,noun,body and health
eyelid,B2,,noun,body and health
eyesight,B2,,noun,body and health
fabric,C1,,noun,
fabulous,C1,,adjective,describing things
face,A1,HEAD,noun,body and health
face - to - face,B1,,adjective,
face the music,C1,IDIOM,phrase,
face to face,B1,,adverb,
face up to,B2,,phrasal verb,people: personality
facial,C2,,adjective,body and health
facilitate,C1,,verb,
facility,B1,BUILDING,noun,buildings
fact,A2,TRUE THING,noun,
factor,B2,,noun,
factory,A1,,noun,"buildings, work"
faculty,B2,TEACHERS,noun,
fade,B2,,verb,
fade away,B2,,phrasal verb,
fail,A2,EXAM,verb,education
fail to do,B2,,phrase,people: actions
failure,B2,NO SUCCESS,noun,
failure to do,B2,,phrase,
faint,B2,SLIGHT,adjective,describing things
fair,A2,HAIR/SKIN,adjective,people: appearance
fair enough,B2,,phrase,communication
fair play,C2,,phrase,
fairly,B1,QUITE,adverb,describing things
fairness,C1,,noun,
faith,B2,TRUST,noun,people: personality
faithful,B2,LOYAL,adjective,"people: personality, relationships"
fake,C1,,adjective,describing things
fall,A2,MOVE DOWN,verb,people: actions
fall apart,B2,BREAK,phrasal verb,
fall asleep,B1,,phrase,people: actions
fall back on,C2,,phrasal verb,
fall down,B1,,phrasal verb,people: actions
fall flat,C1,,phrase,
fall flat on your face,B2,,phrase,
fall for,B2,,phrasal verb,"people: actions, people: personality, relationships"
fall in love,B1,,phrase,"people: actions, people: personality, relationships"
fall into place,C2,IDIOM,phrase,
fall on deaf ear,C2,IDIOM,phrase,
fall out,B2,,phrasal verb,"people: actions, people: personality, relationships"
fall over,B1,,phrasal verb,people: actions
fall prey to,C2,,phrase,
fall short of,C2,,phrase,
fall through,B2,,phrasal verb,
fall to piece,C2,IDIOM,phrase,
false,B1,NOT CORRECT,adjective,describing things
fame,B2,,noun,people: personality
familiar,B1,EASY TO RECOGNIZE,adjective,
familiar with,B2,,phrase,people: personality
familiarize,C2,,phrase,
family,A1,RELATED PEOPLE,noun,relationships
famine,C2,,noun,
famous,A1,,adjective,people: personality
fan,A2,PERSON,noun,"arts and media, people: personality, shopping"
fanatic,C2,,noun,people: personality
fancy,B1,ATTRACTIVE,adjective,
fantastic,A2,,adjective,describing things
fantastically,B2,,adverb,communication
fantasy,B2,,noun,
far,A2,DISTANCE,adverb,
far from,C1,,phrase,
far from do,C2,,phrase,
far from it,C1,,phrase,
faraway,C2,LONG DISTANCE,adjective,
fare,B1,,noun,"money, travel"
farm,A1,,noun,buildings
farmer,A2,,noun,work
farming,B1,,noun,work
fascinate,B2,,adjective,people: personality
fascinating,B2,,adjective,people: personality
fascination,C1,,noun,
fashion,A2,POPULAR STYLE,noun,"clothes, people: appearance"
fashionable,B1,,adjective,"clothes, people: appearance"
fast,A1,,adjective,
fast asleep,C2,,phrase,
fast food,A2,,noun,food and drink
fasten,B1,CLOSE/ATTACH,verb,people: actions
fasten on,B2,,phrase,people: actions
fat,A1,,adjective,people: appearance
fatal,B2,CAUSING DEATH,adjective,body and health
fate,B2,WHAT HAPPENS,noun,
father,A1,,noun,relationships
father - in - law,B2,,noun,relationships
fatty,C1,,adjective,food and drink
faucet,B1,,noun,buildings
fault,B2,BAD QUALITY,noun,
faultless,C2,,adjective,describing things
faulty,B2,,adjective,describing things
favor,B1,HELP,noun,
favorable,B2,,adjective,people: personality
favorite,A1,,adjective,people: personality
fax,B1,,verb,"communication, technology"
fear,B1,BAD FEELING,noun,people: personality
fear the bad,C2,,phrase,people: personality
fearful,C2,,adjective,people: personality
fearless,C2,,adjective,people: personality
feasible,C1,,adjective,
feast,C1,,noun,food and drink
feast on,C2,,phrasal verb,"food and drink, people: actions"
feat,C2,,noun,
feather,B2,,noun,animals
feature,B2,PART,noun,
february,A1,,noun,
federal,C1,,adjective,
federation,C1,,noun,
fee,B1,,noun,money
feeble,C2,WEAK,adjective,body and health
feed,B1,GIVE FOOD,verb,"food and drink, people: actions"
feed up,B2,,adjective,people: personality
feedback,B2,,noun,communication
feel,A1,EXPERIENCE,verb,"body and health, people: personality"
feel at home,B1,,phrase,
feel bad about,B1,,phrase,people: personality
feel compelled to do,C1,,phrase,
feel different,B2,,phrase,people: personality
feel faint,C2,,phrase,body and health
feel like,B1,,phrase,people: personality
feel on top of the world,C2,IDIOM,phrase,
feel sorry for,B1,,phrase,people: personality
feel under the weather,C2,IDIOM,phrase,body and health
feeling,B1,EMOTION,noun,people: personality
fellow,B2,,adjective,relationships
female,B1,,adjective,"animals, people: appearance"
feminine,C1,,adjective,
fence,B2,,noun,buildings
fend for yourself,C2,,phrasal verb,
ferry,B1,,noun,travel
fertile,C2,,adjective,natural world
festival,B1,PERFORMANCES,noun,arts and media
fever,B1,ILLNESS,noun,body and health
few,B1,NOT MANY,determiner,describing things
few and far between,C2,,phrase,
fiction,B1,STORIES,noun,arts and media
fictional,C2,,adjective,
field,A2,LAND,noun,natural world
fierce,B2,VIOLENT,adjective,people: personality
fifteen,A1,,number,
fifth,A2,,number,
fifty,A2,,number,
fight,B1,USE FORCE,verb,people: actions
fighting,B2,,noun,people: actions
figure,B1,NUMBER,noun,communication
figure out,B2,,phrasal verb,people: personality
file,A2,COMPUTER,noun,technology
fill,A2,MAKE FULL,verb,people: actions
fill a need,C2,,phrase,
fill in,A2,,phrasal verb,"communication, people: actions"
fill up or fill up,B1,,phrasal verb,people: actions
fill with anger,B2,,phrase,people: personality
film,B1,PICTURE,noun,arts and media
film - maker,B1,,noun,"arts and media, work"
filter,C2,REMOVE,verb,
filter down,C1,,phrase,
filthy,C1,DIRTY,adjective,describing things
final,A2,LAST,adjective,
final round,B2,,phrase,shopping
final straw,C1,IDIOM,phrase,
finally,A2,AFTER A LONG TIME,adverb,
finance,B2,CONTROL OF MONEY,noun,money
financial,B1,,adjective,money
financially,B2,,adverb,money
