Word,Level,Kanji,Hiragana,English
ステレオ,N4,,ステレオ,stereo
ステーキ,N4,,ステーキ,steak
ステージ,N2,,ステージ,"(1) stage,(2) performance"
ストッキング,N2,,ストッキング,stockings
ストップ,N2,,ストップ,stop
ストライキ,N1,,ストライキ,strike
ストレス,N1,,ストレス,stress
ストロボ,N1,,ストロボ,"stroboscope (lit: strobo), strobe lamp, stroboscopic lamp"
ストロー,N1,,ストロー,straw
ストーブ,N5,,ストーブ,Heater
スピーカー,N2,,スピーカー,speaker
スピーチ,N3,,スピーチ,speech
スピード,N1,,スピード,speed
スプリング,N1,,スプリング,spring
スプーン,N5,,スプーン,Spoon
スペース,N1,,スペース,space
スポーツ,N5,,スポーツ,Sport
スポーツカー,N1,,スポーツカー,sports car
スマート,N2,,スマート,"smart,stylish,slim"
スライド,N2,,スライド,slide
スラックス,N1,,スラックス,slacks
スリッパ,N5,,スリッパ,Slippers
スーツ,N4,,スーツ,suit
スーツケース,N4,,スーツケース,suitcase
スープ,N3,,スープ,(Western) soup
ズボン,N5,,ズボン,Trousers
セクション,N1,,セクション,section
セックス,N1,,セックス,sexual intercourse
セット,N3,,セット,set
セメント,N2,,セメント,cement
セレモニー,N1,,セレモニー,ceremony
センス,N1,,センス,good sense (for music style tact etc.)
センター,N3,,センター,a center
センチ,N2,,センチ,"centimeter,centi-,10^-2"
セーター,N5,,セーター,"sweater, jumper"
セール,N1,,セール,sale
ゼミ,N2,,ゼミ,(n) seminar
ゼリー,N1,,ゼリー,"1. jelly, 2. Jerry"
ゼロ,N5,,ゼロ,Zero
ソックス,N1,,ソックス,socks
ソファー,N3,,ソファー,"sofa,couch"
ソフト,N4,,ソフト,soft
ソロ,N1,,ソロ,solo
ソース,N1,,ソース,source
タイア,N2,,タイア,"tire,tyre"
タイトル,N1,,タイトル,title
タイピスト,N1,,タイピスト,typist
タイプ,N4,,タイプ,"type,style"
タイプライター,N3,,タイプライター,typewriter
タイマー,N1,,タイマー,timer
タイミング,N1,,タイミング,timing
タイム,N1,,タイム,time
タイムリー,N1,,タイムリー,"timely, run-batted-in (baseball), RBI"
タイヤ,N1,,タイヤ,"tire, tyre"
タイル,N1,,タイル,tile
タオル,N3,,タオル,(hand) towel
タクシー,N5,,タクシー,taxi
タレント,N1,,タレント,"talent, star, personality"
タワー,N1,,タワー,tower
ダイヤ,N3,,ダイヤ,"(1) dyer,(2) diagram,(3) (railway) schedule,(4) diamond"
ダイヤグラム,N2,,ダイヤグラム,diagram
ダイヤモンド,N2,,ダイヤモンド,diamond
ダイヤル,N2,,ダイヤル,dial
ダウン,N1,,ダウン,down
ダブる,N1,,ダブる,"to coincide (fall on the same day), to have two of something, to repeat a school year after failing"
ダブル,N2,,ダブル,double
ダム,N2,,ダム,dumb
ダンス,N3,,ダンス,dance
ダンプ,N1,,ダンプ,dump
ダース,N1,,ダース,dozen
チェック,N4,,チェック・する,to check
チェンジ,N1,,チェンジ,change
チップ,N2,,チップ,"(1) gratuity,tip,(2) chip"
チャイム,N1,,チャイム,chime
チャンス,N3,,チャンス,"chance,opportunity"
チャンネル,N1,,チャンネル,a channel
チョーク,N2,,チョーク,"chock,chalk"
チーズ,N3,,チーズ,cheese
チーム,N3,,チーム,team
チームワーク,N1,,チームワーク,teamwork
ティッシュペーパー,N1,,ティッシュペーパー,tissue paper
テキスト,N4,,テキスト,"text,text book"
テスト,N5,,テスト,test
テニス,N4,,テニス,tennis
テニスコート,N2,,テニスコート,tennis court
テレックス,N1,,テレックス,"telex, teletypewriter exchange"
テレビ,N5,,テレビ,television
テント,N3,,テント,tent
テンポ,N2,,テンポ,tempo
テーブル,N5,,テーブル,table
テープ,N5,,テープ,tape
テープレコーダー,N5,,テープレコーダー,tape recorder
テーマ,N2,,テーマ,"(n) theme,project,topic (de: Thema)"
デコレーション,N1,,デコレーション,decoration
デザイン,N1,,デザイン,design
デザート,N1,,デザート,dessert
デッサン,N1,,デッサン,(fr:) (n) rough sketch (fr: dessin)
デパート,N5,,デパート,department store
デモ,N3,,デモ,"(abbr) demo,demonstration"
デモンストレーション,N1,,デモンストレーション,demonstration
データ,N1,,データ,data
デート,N3,,デート,"date,go on a date"
トイレ,N5,,トイレ,toilet
トップ,N3,,トップ,top
トラック,N3,,トラック,"(1) truck,(2) (running) track"
トラブル,N1,,トラブル,trouble (sometimes used as a verb)
トランジスター,N1,,トランジスター,transistor
トランプ,N3,,トランプ,playing cards (lit: trump)
トレーニング,N2,,トレーニング,training
トン,N3,,トン,ton
トンネル,N3,,トンネル,tunnel
トーン,N1,,トーン,tone
ドア,N5,,ドア,Western style door
ドライ,N1,,ドライ,dry
ドライクリーニング,N1,,ドライクリーニング,dry cleaning
ドライバー,N1,,ドライバー,"driver, screwdriver"
ドライブ,N3,,ドライブ,"drive,trip by car,driving"
ドライブイン,N1,,ドライブイン,drive in
ドラマ,N3,,ドラマ,drama
ドリル,N1,,ドリル,drill
ドレス,N3,,ドレス,dress
ナイター,N1,,ナイター,"game under lights (e.g. baseball) (lit: nighter), night game"
ナイフ,N5,,ナイフ,knife
ナイロン,N2,,ナイロン,nylon
ナプキン,N1,,ナプキン,napkin
ナンセンス,N1,,ナンセンス,nonsense
ナンバー,N2,,ナンバー,number
ニュアンス,N1,,ニュアンス,nuance
ニュー,N1,,ニュー,new
ニュース,N5,,ニュース,news
ネガ,N1,,ネガ,(photographic) negative
ネクタイ,N5,,ネクタイ,"tie,necktie"
ネックレス,N2,,ネックレス,necklace
ノイローゼ,N1,,ノイローゼ,(de:) (n) neurosis (de: Neurose)
ノック,N3,,ノック,"(1) knock,(2) fungo (baseball)"
ノー,N3,,ノー,no
ノート,N5,,ノート,"notebook,exercise book"
ハイキング,N3,,ハイキング,hiking
ハンカチ,N5,,ハンカチ,handkerchief
ハンガー,N1,,ハンガー,"hangar, (coat) hanger, hunger"
ハンサム,N3,,ハンサム,handsome
ハンドバッグ,N4,,ハンドバッグ,handbag　
ハンドル,N2,,ハンドル,"handle,steering wheel"
バイオリン,N3,,バイオリン,violin
バイバイ,N2,,バイバイ,
バケツ,N2,,バケツ,"bucket,pail"
バス,N5,,バス,bus
バター,N5,,バター,butter
バック,N2,,バック,back
バッグ,N3,,バッグ,"bag,bug"
バッジ,N1,,バッジ,badge
バット,N1,,バット,"bat, vat"
バランス,N2,,バランス,balance
バン,N3,,バン,"bun,van (caravan),VAN (value-added network)"
バンド,N2,,バンド,band
バー,N1,,バー,bar
パイプ,N3,,パイプ,"(1) pipe,tube,(2) channels, official or otherwise"
パイロット,N3,,パイロット,pilot
パジャマ,N1,,パジャマ,"pajamas, pyjamas"
パス,N3,,パス,"path,pass (in games)"
パスポート,N3,,パスポート,passport
パソコン,N4,,パソコン,personal computer
パターン,N2,,パターン,pattern
パチンコ,N1,,パチンコ,pachinko (Japanese pinball)
パトカー,N1,,パトカー,patrol car
パン,N5,,パン,bread
パンク,N1,,パンク,"1. (abbr) puncture, bursting, 2. punk"
パンツ,N2,,パンツ,underpants
パーセント,N3,,パーセント,percent
パーティー,N5,,パーティー,party
パート,N4,,パート,part time
ヒント,N1,,ヒント,hint
ビジネス,N1,,ビジネス,business
ビタミン,N2,,ビタミン,vitamin
ビデオ,N3,,ビデオ,video
ビニール,N2,,ビニール,vinyl
ビル,N4,,ビル,building or bill
ビルディング,N2,,ビルディング,building
ビール,N3,,ビール,beer
ビールス,N1,,ビールス,virus
ピアノ,N4,,ピアノ,piano
