Kanji,Hiragana,English,JLPT
,つける,to turn on,N5
勤める,つとめる,to work for someone,N5
,つまらない,boring,N5
冷たい,つめたい,cold to the touch,N5
強い,つよい,powerful,N5
手,て,hand,N5
,テープ,tape,N5
,テーブル,table,N5
,テープレコーダー,tape recorder,N5
出かける,でかける,to go out,N5
手紙,てがみ,letter,N5
,できる,to be able to,N5
出口,でぐち,exit,N5
,テスト,test,N5
,では,with that...,N5
,デパート,department store,N5
,でも,but,N5
出る,でる,"to appear,to leave",N5
,テレビ,television,N5
天気,てんき,weather,N5
電気,でんき,"electricity,electric light",N5
電車,でんしゃ,electric train,N5
電話,でんわ,telephone,N5
戸,と,Japanese style door,N5
,ドア,Western style door,N5
,トイレ,toilet,N5
,どう,"how,in what way",N5
,どうして,for what reason,N5
,どうぞ,please,N5
動物,どうぶつ,animal,N5
,どうも,thanks,N5
遠い,とおい,far,N5
十日,とおか,"ten days,the tenth day",N5
時々,ときどき,sometimes,N5
時計,とけい,"watch,clock",N5
,どこ,where,N5
所,ところ,place,N5
年,とし,year,N5
図書館,としょかん,library,N5
,どちら,which of two,N5
,どっち,which,N5
,とても,very,N5
,どなた,who,N5
隣,となり,next door to,N5
,どの,which,N5
飛ぶ,とぶ,"to fly,to hop",N5
止まる,とまる,to come to a halt,N5
友達,ともだち,friend,N5
土曜日,どようび,Saturday,N5
鳥,とり,bird,N5
とり肉,とりにく,chicken meat,N5
取る,とる,to take something,N5
撮る,とる,to take a photo or record a film,N5
,どれ,which (of three or more),N5
,ナイフ,knife,N5
中,なか,middle,N5
長い,ながい,long,N5
鳴く,なく,"animal noise. to chirp, roar or croak etc.",N5
無くす,なくす,to lose something,N5
,なぜ,why,N5
夏,なつ,summer,N5
夏休み,なつやすみ,summer holiday,N5
,など,et cetera,N5
七つ,ななつ,seven,N5
七日,なのか,"seven days,the seventh day",N5
名前,なまえ,name,N5
習う,ならう,to learn,N5
並ぶ,ならぶ,"to line up,to stand in a line",N5
並べる,ならべる,"to line up,to set up",N5
,なる,to become,N5
何,なん/なに,what,N5
二,に,two,N5
賑やか,にぎやか,"bustling,busy",N5
肉,にく,meat,N5
西,にし,west,N5
日曜日,にちようび,Sunday,N5
荷物,にもつ,luggage,N5
,ニュース,news,N5
庭,にわ,garden,N5
脱ぐ,ぬぐ,to take off clothes,N5
温い,ぬるい,luke warm,N5
,ネクタイ,"tie,necktie",N5
猫,ねこ,cat,N5
寝る,ねる,"to go to bed,to sleep",N5
,ノート,"notebook,exercise book",N5
登る,のぼる,to climb,N5
飲み物,のみもの,a drink,N5
飲む,のむ,to drink,N5
乗る,のる,"to get on,to ride",N5
歯,は,tooth,N5
,パーティー,party,N5
,はい,yes,N5
灰皿,はいざら,ashtray,N5
入る,はいる,"to enter,to contain",N5
葉書,はがき,postcard,N5
,はく,"to wear,to put on trousers",N5
箱,はこ,box,N5
橋,はし,bridge,N5
,はし,chopsticks,N5
始まる,はじまる,to begin,N5
初め/始め,はじめ,beginning,N5
初めて,はじめて,for the first time,N5
走る,はしる,to run,N5
,バス,bus,N5
,バター,butter,N5
二十歳,はたち,"20 years old,20th year",N5
働く,はたらく,to work,N5
八,はち,eight,N5
二十日,はつか,"twenty days,twentieth",N5
花,はな,flower,N5
鼻,はな,nose,N5
話,はなし,"talk,story",N5
話す,はなす,to speak,N5
早い,はやい,early,N5
速い,はやい,quick,N5
春,はる,spring,N5
貼る,はる,to stick,N5
晴れ,はれ,clear weather,N5
晴れる,はれる,to be sunny,N5
半,はん,half,N5
晩,ばん,evening,N5
,パン,bread,N5
,ハンカチ,handkerchief,N5
番号,ばんごう,number,N5
晩御飯,ばんごはん,evening meal,N5
半分,はんぶん,half minute,N5
東,ひがし,east,N5
引く,ひく,to pull,N5
弾く,ひく,"to play an instrument with strings, including piano",N5
低い,ひくい,"short,low",N5
飛行機,ひこうき,aeroplane,N5
左,ひだり,left hand side,N5
人,ひと,person,N5
一つ,ひとつ,one,N5
一月,ひとつき,one month,N5
一人,ひとり,one person,N5
暇,ひま,free time,N5
百,ひゃく,hundred,N5
病院,びょういん,hospital,N5
病気,びょうき,illness,N5
昼,ひる,"noon, daytime",N5
昼御飯,ひるごはん,midday meal,N5
広い,ひろい,"spacious,wide",N5
,フィルム,roll of film,N5
封筒,ふうとう,envelope,N5
,プール,swimming pool,N5
,フォーク,fork,N5
吹く,ふく,to blow,N5
服,ふく,clothes,N5
二つ,ふたつ,two,N5
豚肉,ぶたにく,pork,N5
二人,ふたり,two people,N5
二日,ふつか,"two days, second day of the month",N5
太い,ふとい,fat,N5
冬,ふゆ,winter,N5
降る,ふる,"to fall, e.g. rain or snow",N5
古い,ふるい,old (not used for people),N5
,ふろ,bath,N5
文章,ぶんしょう,"sentence,text",N5
,ページ,page,N5
下手,へた,unskillful,N5
,ベッド,bed,N5
,ペット,pet,N5
部屋,へや,room,N5
辺,へん,area,N5
,ペン,pen,N5
勉強,べんきょうする,to study,N5
便利,べんり,"useful, convenient",N5
帽子,ぼうし,hat,N5
,ボールペン,ball-point pen,N5
,ほか,"other, the rest",N5
,ポケット,pocket,N5
欲しい,ほしい,want,N5
,ポスト,post,N5
細い,ほそい,thin,N5
,ボタン,button,N5
,ホテル,hotel,N5
本,ほん,book,N5
本棚,ほんだな,bookshelves,N5
,ほんとう,truth,N5
毎朝,まいあさ,every morning,N5
毎月,まいげつ/まいつき,every month,N5
毎週,まいしゅう,every week,N5
毎日,まいにち,every day,N5
毎年,まいねん/まいとし,every year,N5
毎晩,まいばん,every night,N5
前,まえ,before,N5
曲る,まがる,"to turn,to bend",N5
,まずい,unpleasant,N5
,また,"again,and",N5
,まだ,"yet,still",N5
町,まち,"town,city",N5
待つ,まつ,to wait,N5
,まっすぐ,"straight ahead,direct",N5
,マッチ,match,N5
窓,まど,window,N5
丸い/円い,まるい,"round,circular",N5
万,まん,ten thousand,N5
万年筆,まんねんひつ,fountain pen,N5
磨く,みがく,"to brush teeth, to polish",N5
右,みぎ,right side,N5
短い,みじかい,short,N5
水,みず,water,N5
店,みせ,shop,N5
見せる,みせる,to show,N5
道,みち,street,N5
三日,みっか,"three days, third day of the month",N5
三つ,みっつ,three,N5
緑,みどり,green,N5
皆さん,みなさん,everyone,N5
南,みなみ,south,N5
耳,みみ,ear,N5
見る 観る,みる,"to see, to watch",N5
,みんな,everyone,N5
六日,むいか,"six days, sixth day of the month",N5
向こう,むこう,over there,N5
難しい,むずかしい,difficult,N5
六つ,むっつ,six,N5
村,むら,village,N5
目,め,eye,N5
,メートル,metre,N5
眼鏡,めがね,glasses,N5
,もう,already,N5
もう一度,もういちど,again,N5
木曜日,もくようび,Thursday,N5
持つ,もつ,to hold,N5
,もっと,more,N5
物,もの,thing,N5
門,もん,gate,N5
問題,もんだい,problem,N5
八百屋,やおや,greengrocer,N5
野菜,やさい,vegetable,N5
易しい,やさしい,"easy, simple",N5
安い,やすい,cheap,N5
休み,やすみ,"rest,holiday",N5
休む,やすむ,to rest,N5
八つ,やっつ,eight,N5
山,やま,mountain,N5
,やる,to do,N5
夕方,ゆうがた,evening,N5
夕飯,ゆうはん,dinner,N5
郵便局,ゆうびんきょく,post office,N5
昨夜,ゆうべ,last night,N5
有名,ゆうめい,famous,N5
雪,ゆき,snow,N5
行く,ゆく,to go,N5
,ゆっくりと,slowly,N5
八日,ようか,"eight days, eighth day of the month",N5
洋服,ようふく,western-style clothes,N5
,よく,"often, well",N5
横,よこ,"beside,side,width",N5
四日,よっか,"four days, fouth day of the month",N5
四つ,よっつ,four,N5
呼ぶ,よぶ,"to call out,to invite",N5
読む,よむ,to read,N5
夜,よる,"evening,night",N5
弱い,よわい,weak,N5
来月,らいげつ,next month,N5
来週,らいしゅう,next week,N5
来年,らいねん,next year,N5
,ラジオ,radio,N5
,ラジカセ / ラジオカセット,radio cassette player,N5
,りっぱ,splendid,N5
留学生,りゅうがくせい,overseas student,N5
両親,りょうしん,both parents,N5
料理,りょうり,cuisine,N5
旅行,りょこう,travel,N5
零,れい,zero,N5
冷蔵庫,れいぞうこ,refrigerator,N5
,レコード,record,N5
,レストラン,restaurant,N5
練習,れんしゅうする,to practice,N5
廊下,ろうか,corridor,N5
六,ろく,six,N5
,ワイシャツ,business shirt,N5
若い,わかい,young,N5
分かる,わかる,to be understood,N5
忘れる,わすれる,to forget,N5
私,わたくし,"(humble) I,myself",N5
私,わたし,"I,myself",N5
渡す,わたす,to hand over,N5
渡る,わたる,to go across,N5
悪い,わるい,bad,N5
,より/ほう,Used for comparison.,N5
,あ,Ah,N4
,ああ,like that,N4
,あいさつ・する,to greet,N4
間,あいだ,a space,N4
合う,あう,to match,N4
,あかちゃん,infant,N4
上る,あがる,to rise,N4
赤ん坊,あかんぼう,baby,N4
空く,あく,"to open, to become empty",N4
,アクセサリー,accessory,N4
,あげる,to give,N4
浅い,あさい,"shallow,superficial",N4
味,あじ,flavour,N4
,アジア,Asia,N4
明日,あす,tomorrow,N4
遊び,あそび,play,N4
集る,あつまる,to gather,N4
集める,あつめる,to collect something,N4
,アナウンサー,announcer,N4
,アフリカ,Africa,N4
,アメリカ,America,N4
謝る,あやまる,to apologize,N4
,アルコール,alcohol,N4
,アルバイト,part-time job,N4
安心,あんしん,relief,N4
安全,あんぜん,safety,N4
,あんな,such,N4
案内,あんない・する,to guide,N4
以下,いか,less than,N4
以外,いがい,with the exception of,N4
医学,いがく,medical science,N4
生きる,いきる,to live,N4
意見,いけん,opinion,N4
石,いし,stone,N4
,いじめる,to tease,N4
以上,いじょう,"more than,this is all",N4
急ぐ,いそぐ,to hurry,N4
致す,いたす,(humble) to do,N4
,いただく,(humble) to receive,N4
一度,いちど,once,N4
一生懸命,いっしょうけんめい,with utmost effort,N4
,いっぱい,full,N4
糸,いと,thread,N4
以内,いない,within,N4
田舎,いなか,countryside,N4
祈る,いのる,to pray,N4
,いらっしゃる,"(respectful) to be,to come or to go",N4
植える,うえる,"to plant,to grow",N4
,うかがう,to visit,N4
受付,うけつけ,receipt,N4
受ける,うける,to take a lesson or test,N4
動く,うごく,to move,N4
,うそ,a lie,N4
,うち,within,N4
打つ,うつ,to hit,N4
美しい,うつくしい,beautiful,N4
写す,うつす,to copy or photograph,N4
移る,うつる,to move house or transfer,N4
腕,うで,arm,N4
,うまい,delicious,N4
裏,うら,reverse side,N4
売り場,うりば,place where things are sold,N4
,うれしい,glad,N4
,うん,(informal) yes,N4
運転,うんてん・する,to drive,N4
運転手,うんてんしゅ,driver,N4
運動,うんどう・する,to exercise,N4
,エスカレーター,escalator,N4
枝,えだ,"branch, twig",N4
選ぶ,えらぶ,to choose,N4
遠慮,えんりょ・する,"to be reserved, to be restrained",N4
,おいでになる,(respectful) to be,N4
お祝い,おいわい,congratulation,N4
,オートバイ,motorcycle,N4
,おかげ,owing to,N4
,おかしい,strange or funny,N4
億,おく,one hundred million,N4
屋上,おくじょう,rooftop,N4
贈り物,おくりもの,gift,N4
送る,おくる,to send,N4
遅れる,おくれる,to be late,N4
起す,おこす,to wake,N4
行う,おこなう,to do,N4
怒る,おこる,"to get angry,to be angry",N4
押し入れ,おしいれ,closet,N4
お嬢さん,おじょうさん,young lady,N4
お宅,おたく,(polite) your house,N4
落る,おちる,to fall or drop,N4
,おっしゃる,(respectful) to say,N4
夫,おっと,husband,N4
,おつり,"change from purchase, balance",N4
音,おと,"sound,note",N4
落す,おとす,to drop,N4
踊り,おどり,a dance,N4
踊る,おどる,to dance,N4
驚く,おどろく,to be surprised,N4
お祭り,おまつり,festival,N4
お見舞い,おみまい,"calling on someone who is ill,enquiry",N4
お土産,おみやげ,souvenir,N4
思い出す,おもいだす,to remember,N4
思う,おもう,"to think,to feel",N4
,おもちゃ,toy,N4
表,おもて,the front,N4
親,おや,parents,N4
下りる,おりる,to get off,N4
折る,おる,to break or to fold,N4
お礼,おれい,expression of gratitude,N4
折れる,おれる,to break or be folded,N4
終わり,おわり,the end,N4
,カーテン,curtain,N4
海岸,かいがん,coast,N4
会議,かいぎ,meeting,N4
会議室,かいぎしつ,meeting room,N4
会場,かいじょう,assembly hall or meeting place,N4
会話,かいわ,conversation,N4
帰り,かえり,return,N4
変える,かえる,to change,N4
科学,かがく,science,N4
鏡,かがみ,mirror,N4
掛ける,かける,to hang something,N4
飾る,かざる,to decorate,N4
火事,かじ,fire,N4
,ガス,petrol,N4
,ガソリン,petrol,N4
,ガソリンスタンド,petrol station,N4
堅/硬/固い,かたい,hard,N4
形,かたち,shape,N4
片付ける,かたづける,to tidy up,N4
課長,かちょう,section manager,N4
勝つ,かつ,to win,N4
,かっこう,appearance,N4
家内,かない,housewife,N4
悲しい,かなしい,sad,N4
必ず,かならず,"certainly,necessarily",N4
お・金持ち,かねもち/おかねもち,rich man,N4
彼女,かのじょ,"she,girlfriend",N4
壁,かべ,wall,N4
,かまう,to mind,N4
髪,かみ,hair,N4
噛む,かむ,"to bite,to chew",N4
通う,かよう,to commute,N4
,ガラス,a glass pane,N4
彼,かれ,"he,boyfriend",N4
彼ら,かれら,they,N4
乾く,かわく,to get dry,N4
代わり,かわり,"substitute,alternate",N4
変わる,かわる,to change,N4
考える,かんがえる,to consider,N4
関係,かんけい,relationship,N4
看護婦,かんごふ,female nurse,N4
簡単,かんたん,simple,N4
気,き,"spirit,mood",N4
機会,きかい,opportunity,N4
危険,きけん,danger,N4
聞こえる,きこえる,to be heard,N4
汽車,きしゃ,steam train,N4
技術,ぎじゅつ,"art,technology,skill",N4
季節,きせつ,season,N4
規則,きそく,regulations,N4
,きっと,surely,N4
絹,きぬ,silk,N4
厳しい,きびしい,strict,N4
気分,きぶん,mood,N4
決る,きまる,to be decided,N4
君,きみ,(informal) You (used by men towards women),N4
決める,きめる,to decide,N4
気持ち,きもち,"feeling,mood",N4
着物,きもの,kimono,N4
客,きゃく,"guest,customer",N4
急,きゅう,"urgent, steep",N4
急行,きゅうこう,"speedy, express",N4
教育,きょういく,education,N4
教会,きょうかい,church,N4
競争,きょうそう,competition,N4
興味,きょうみ,an interest,N4
近所,きんじょ,neighbourhood,N4
具合,ぐあい,"condition,health",N4
空気,くうき,"air,atmosphere",N4
空港,くうこう,airport,N4
草,くさ,grass,N4
,くださる,(respectful) to give,N4
首,くび,neck,N4
雲,くも,cloud,N4
比べる,くらべる,to compare,N4
,くれる,to give,N4
暮れる,くれる,"to get dark,to come to an end",N4
君,くん,suffix for familiar young male,N4
毛,け,hair or fur,N4
計画,けいかく・する,to plan,N4
経験,けいけん・する,to experience,N4
経済,けいざい,"finance,economy",N4
警察,けいさつ,police,N4
,ケーキ,cake,N4
,けが・する,to injure,N4
景色,けしき,"scene,landscape",N4
消しゴム,けしゴム,eraser,N4
下宿,げしゅく,lodging,N4
決して,けっして,never,N4
,けれど/けれども,however,N4
原因,げんいん,"cause,source",N4
,けんか・する,to quarrel,N4
研究,けんきゅう,research,N4
研究室,けんきゅうしつ,"study room,laboratory",N4
見物,けんぶつ,sightseeing,N4
子,こ,child,N4
,こう,this way,N4
郊外,こうがい,outskirts,N4
講義,こうぎ,lecture,N4
工業,こうぎょう,the manufacturing industry,N4
高校,こうこう,high school,N4
高校生,こうこうせい,high school student,N4
工場,こうじょう,factory,N4
校長,こうちょう,headmaster,N4
交通,こうつう,"traffic,transportation",N4
講堂,こうどう,auditorium,N4
高等学校,こうとうがっこう,high school,N4
公務員,こうむいん,government worker,N4
国際,こくさい,international,N4
心,こころ,"core,heart",N4
御主人,ごしゅじん,(honorable) your husband,N4
故障,こしょう・する,to break-down,N4
ご存じ,ごぞんじ,"knowing,acquaintance",N4
答,こたえ,response,N4
,ごちそう,a feast,N4
,こと,"thing,matter",N4
小鳥,ことり,small bird,N4
,このあいだ,"the other day,recently",N4
,このごろ,"these days,nowadays",N4
細かい,こまかい,"small, fine",N4
,ごみ,rubbish,N4
込む,こむ,to be crowded,N4
米,こめ,uncooked rice,N4
,ごらんになる,(respectful) to see,N4
,これから,after this,N4
怖い,こわい,frightening,N4
壊す,こわす,to break,N4
壊れる,こわれる,to be broken,N4
,コンサート,concert,N4
