Word,Level,Guideword,Part of Speech,Topic
associate,None,TWO THINGS,None,None
associated,B2,,,
association,B2,,noun,
assume,B2,,verb,communication
assumption,C1,,noun,
assurance,C1,PROMISE,noun,communication | people: personality
assure,B2,,verb,communication
astonished,B2,,adjective,people: personality
astonishing,B2,,adjective,people: personality
astonishment,B2,,noun,people: personality
astronomy,C2,,noun,natural world
at,A1,DIRECTION | E-MAIL ADDRESS | PLACE | TIME,None | preposition,communication | describing things | None | technology
athlete,B1,,noun,shopping | work
athletic,B2,,adjective,body and health | shopping
atmosphere,B1,FEELING,noun,natural world
atom,B2,,noun,natural world
atomic,B2,,adjective,technology
attach,B1,COMPUTING | CONNECT,verb,people: actions | technology
attached,B2,CONNECTED TO,adjective,describing things
attachment,B2,COMPUTING | EQUIPMENT,noun,technology
attack,B1,TRY TO HURT,noun | verb,body and health | communication | crime | people: actions
attain,C1,,verb,
attainable,C2,,adjective,
attempt,B1,,noun | verb,people: actions
attend,B1,BE PRESENT,verb,people: actions
attendance,C1,NUMBER | REGULARLY,noun,
attention,B1,NOTICE,noun,
attic,B2,,noun,buildings
attitude,B1,,noun,people: personality
attorney,C1,,noun,crime | work
attract,B1,ENCOURAGE INTEREST,None | verb,None | people: personality
attracted,B2,,,people: personality | relationships
attraction,B1,THING TO SEE OR DO,noun,relationships
attractive,A2,BEAUTIFUL,adjective,people: appearance
attribute,C2,,noun,
auction,C1,,noun,
audience,B1,GROUP,noun,arts and media
audition,C1,,noun,
august,A1,,noun,
aunt,A2,,noun,relationships
authentic,C1,,adjective,describing things
author,B1,,noun,arts and media | work
authority,B2,POWER,noun,
authorize,C1,,verb,
authorized,C1,,,
automatic,B2,MACHINE,adjective,technology
automatically,B2,MACHINE | PERSON,adverb,technology
availability,B2,,noun,
available,A2,ABLE TO GET | NOT BUSY,adjective,shopping
avenue,C1,STREET,noun,
average,A2,USUAL,adjective | None | noun,describing things | None
avoid,B1,STAY AWAY FROM,verb,people: actions
awake,B1,,adjective,body and health
award,B2,PRIZE,noun | verb,money
aware,B2,,adjective,people: personality
awareness,C1,,noun,
away,A2,DISTANCE FROM | SOMEWHERE ELSE,adverb,describing things | shopping
awe,C2,,noun,
awesome,A2,GOOD,adjective,describing things
awful,A2,BAD,adjective,describing things
awkward,B2,DIFFICULT | EMBARRASSING,adjective,people: personality
baby,A1,CHILD,noun,animals | people: appearance
babysit,B1,,verb,people: actions
babysitter,B1,,noun,work
back,A1,RETURNING,adjective | adverb | noun | verb,body and health | communication | describing things | money
backache,B1,,noun,body and health
background,B1,EXPERIENCE,noun,arts and media | people: personality
backing,C2,,noun,
backpack,A2,,noun,clothes | travel
backpacker,B1,,noun,travel
backpacking,B1,,noun,travel
backup,B2,COPY | EXTRA HELP,noun,technology
backward,B1,BEHIND,adjective | adverb,
backwards,C1,IDIOM,,
backyard,B1,,noun,
bacon,B1,,noun,food and drink
bacteria,C1,,noun,body and health | natural world
bad,A1,UNPLEASANT,adjective,describing things | food and drink | people: personality
bad-tempered,B2,,adjective,people: personality
badge,B2,,noun,clothes
badly,A2,LOW QUALITY | VERY MUCH | VERY SERIOUSLY,adverb,communication | describing things
badminton,A2,,noun,shopping
bag,A1,,noun,shopping
baggage,B1,BAGS,noun,travel
bake,A2,,verb,food and drink
baker,B1,,noun,food and drink | work
bakery,B2,,noun,shopping | work
balance,B2,EQUAL IMPORTANCE | MONEY | NOT FALLING | WEIGHT,noun | verb,money
balanced,B2,FAIR,adjective,describing things | people: personality
balcony,B1,HOUSE ETC.,noun,buildings
bald,B1,,adjective,body and health | people: appearance
ball,A1,ROUND OBJECT,noun,shopping
ballet,B2,,noun,arts and media
balloon,A2,,noun,
ban,B2,,noun | verb,communication
banana,A1,,noun,food and drink
band,A1,,noun,arts and media
bandage,A2,,noun,body and health
bang,B2,,noun | verb,people: actions
bank,A1,MONEY,noun,money | natural world
banker,B2,,noun,money | work
banking,A2,MONEY MANAGEMENT,noun,money | work
bankrupt,C1,,adjective,money
bar,A2,DRINKING PLACE,noun,describing things | food and drink
barbecue,A2,EQUIPMENT | PARTY,noun | verb,buildings | food and drink
barbecued,B1,,adjective,food and drink
barber,B1,,noun,work
barbershop,B1,,noun,
bare,C1,NO CLOTHES | NOT COVERED,adjective,clothes | describing things | people: appearance
barely,C1,,adverb,describing things
bargain,B1,,noun,money | shopping
bark,B2,DOG,noun | verb,animals
barn,C2,,noun,
barrier,B2,FENCE | PREVENTING,noun,buildings
bars,B2,,,
bartender,B2,,noun,food and drink | work
base,B2,BOTTOM | MILITARY,noun,describing things
baseball,A1,,noun,shopping
based,None,None,,None
basement,B2,,noun,buildings
basic,B1,MAIN | NECESSARY | SIMPLE,adjective,describing things
basically,B2,MOSTLY | SIMPLY,adverb,communication
basics,B2,,,communication
basis,B2,METHOD,noun,
basket,B1,,noun,shopping
basketball,A1,,noun,shopping
bat,A1,STICK,noun,animals | shopping
bated,C2,IDIOM,,
bath,A1,,noun,people: actions
bathing,A2,,,clothes | shopping
bathroom,A1,ROOM,noun,buildings
bathtub,B1,,noun,buildings
batteries,C2,IDIOM,,
battery,A2,,noun,technology | travel
battle,B1,WAR,None | noun | verb,None
bay,B1,WATER,noun,natural world
be,A1,POSITION,auxiliary verb | None | verb,describing things | None
beach,A1,,noun,natural world
beak,C1,,noun,animals
beam,B2,,noun,
bean,A1,,noun,food and drink
bear,A2,,noun | verb,animals | body and health | people: personality
beard,A1,,noun,people: appearance
beat,B1,DEFEAT | HEART,noun | verb,arts and media | body and health | food and drink | people: actions | shopping
beaten,C2,IDIOM,,
beautiful,A1,ATTRACTIVE | PLEASANT,adjective,describing things | people: appearance
beautifully,B1,,adverb,people: appearance
beauty,B1,BEING BEAUTIFUL,noun,people: appearance
because,A1,,conjunction,communication
become,B2,,,None
bed,A1,FOR SLEEP,noun,buildings | natural world
bedroom,A1,,noun,buildings
bee,B1,,noun,animals
beef,B1,,noun,food and drink
been,B1,,,
beer,A1,,noun,food and drink
before,A1,EARLIER,adverb | conjunction | None | preposition,describing things | None
beg,B2,STRONG REQUEST | VERY POOR,verb,communication
begin,A1,START TO HAPPEN,verb,
beginner,A2,,noun,people: personality
beginning,A2,,noun,
behalf,B2,,,
behave,B1,BE POLITE | IN A PARTICULAR WAY,verb,people: actions | people: personality
behavior,B1,,noun,
behind,A1,BACK,adverb | preposition,describing things
being,C2,,,
belief,B2,IDEA | TRUE,noun,people: personality
believe,A2,THINK | TRUE,verb,people: personality
bell,B1,ELECTRICAL OBJECT,noun,
belong,B2,HAPPY SOMEWHERE | RIGHT PLACE,verb,people: personality
belongings,B2,,noun,
below,A1,POSITION,adverb,describing things
belt,A2,CLOTHING,noun,clothes
bench,B2,,noun,buildings
bend,B2,BODY | CURVE,None | noun | verb,None | people: actions
beneath,B2,UNDER,preposition,describing things
beneficial,B2,,adjective,describing things
benefit,B1,HELP | SERVICE,noun | verb,work
benefits,None,None,,None
berry,B2,,noun,natural world
beside,B1,,preposition,describing things
besides,B1,EXTRA REASON | IN ADDITION TO,adverb | preposition,communication
best,A1,BETTER THAN ALL | MOST,adjective | adverb,describing things
bestseller,B2,,noun,arts and media
bet,C1,,noun | verb,
betray,B2,,verb,people: personality
better,A1,HEALTHY | HIGHER STANDARD,adjective | adverb | None,body and health | describing things | None
between,A1,INVOLVE | SPACE | TIME,adverb | preposition,describing things | shopping
beware,C1,,verb,
beyond,B1,TIME,adverb | None | preposition,describing things | None
bias,C2,,noun,
biased,C1,,adjective,
bicycle,A2,,noun,travel
bid,C1,ATTEMPT | OFFER,noun | verb,money | work
big,A1,SIZE,adjective,describing things
bike,A1,BICYCLE,noun,travel
bikini,B2,,noun,clothes
bilingual,C1,,adjective,
bill,A2,,noun,money | shopping
billion,B2,,noun,
bind,C2,TIE | UNITE,verb,
biography,B1,,noun,arts and media
biological,B2,,adjective,animals
biology,A2,,noun,animals | education
bird,A1,,noun,animals
birth,A2,BABY,noun,body and health
birthday,A1,,noun,relationships
bit,B1,SMALL AMOUNT,noun,describing things
bite,B1,,noun | verb,body and health | food and drink | people: actions
bits,C2,,,
bitter,B1,TASTE,adjective,food and drink | people: personality
bizarre,B2,,adjective,describing things
black,A1,COLOR,adjective | noun,describing things | people: appearance
blackboard,A2,,noun,education
blackmail,C2,,noun | verb,
blade,B2,,noun,
blame,B1,RESPONSIBLE,noun | verb,communication
bland,C2,BORING | NO TASTE,adjective,describing things | food and drink
blank,B1,EMPTY,adjective | noun,describing things | people: personality
blanket,A2,FOR BED,noun,buildings
bleak,C2,COLD | NO HOPE,adjective,describing things
bleed,B1,,verb,body and health
blend,C2,,noun,
blind,B1,NO SIGHT,adjective,body and health
blindness,C1,NOT SEEING,noun,body and health
blink,B2,EYES,verb,body and health | people: actions
blister,C2,,noun,body and health
block,A2,AREA | DISTANCE,noun | verb,describing things
blog,B1,,noun | verb,arts and media | communication | technology
blogger,B1,,noun,arts and media | communication | technology
blond,A2,,adjective,people: appearance
blood,A2,RED LIQUID,noun,body and health
bloody,B2,COVERED IN BLOOD,adjective,body and health
blouse,A1,,noun,clothes
blow,B1,PERSON | WIND,noun | verb,natural world | people: actions
blue,A1,COLOR,adjective | noun,describing things | people: personality
blunt,C2,NOT SHARP | RUDE,adjective,people: personality
blush,B2,,verb,people: personality
board,A1,CLASSROOM,noun | verb,buildings | education | food and drink | shopping | travel | work
boast,B2,PRIDE,verb,communication
boat,A1,,noun,travel
body,A1,PERSON,None | noun,body and health | None
boil,B1,CONTAINER | COOK | HEAT LIQUID,verb,food and drink | natural world
boiled,B1,,adjective,food and drink
boiling,B2,,adjective,natural world
bold,B2,BRAVE | EASY TO NOTICE,adjective,describing things | people: personality
boldly,B2,,adverb,people: personality
bomb,B1,,None | noun | verb,None | people: actions
bomber,B2,PERSON,noun,
bombing,B2,,noun,
bond,B2,,noun | verb,relationships
bone,B1,,noun,body and health
bonus,B2,EXTRA MONEY | EXTRA THING,noun,money | work
book,A1,FOR READING,noun | verb,arts and media | travel
bookcase,A1,,noun,buildings
booklet,B2,,noun,communication
bookmark,B2,,noun | verb,technology
bookshelf,A2,,noun,buildings
bookstore,A1,,noun,shopping
boost,B2,,noun | verb,people: personality
boot,A1,,noun,clothes
border,B1,,noun,
bored,B1,,adjective | None,None | people: personality
boring,A1,,adjective,people: personality
born,A2,,,education
borrow,A2,GET,verb,money
boss,A2,,noun,work
bossy,B2,,adjective,communication | people: personality
both,A1,,determiner,
bother,A2,ANNOY,verb,people: personality
bothered,B2,,adjective,people: personality
bottle,A2,,noun,food and drink
bottom,A1,LOWEST PART,None | noun,describing things | None
bounce,B1,MOVE UP,verb,technology
bound,C1,DIRECTION,adjective,travel
boundary,C1,LIMIT | LINE,noun,
bow,B2,KNOT | WEAPON,noun,arts and media
bowl,A2,,noun,food and drink
box,A1,CONTAINER,noun,shopping
boxing,B1,,noun,shopping
boy,A1,,noun,people: appearance
boyfriend,A2,,noun,relationships
boys,B2,,,
bra,B2,,noun,clothes
bracelet,A2,,noun,clothes
bracket,C1,GROUP | SYMBOL,noun,communication
brain,A2,BODY PART,noun,body and health | people: personality
brake,B1,,noun | verb,people: actions | travel
branch,B1,BUSINESS | TREE,noun,education | natural world | shopping | work
brand,B2,,noun,shopping
brass,C1,METAL,noun,arts and media
brave,B1,,adjective,people: personality
bravely,B1,,adverb,people: personality
bravery,B2,,noun,people: personality
bread,A1,,noun,food and drink
breadth,C2,,,None
break,A2,NOT WORK | SEPARATE | STOP,None | noun | verb,natural world | None
breakable,B2,,adjective,
breakdown,B2,ILLNESS | NOT WORKING,noun,body and health | technology
breakfast,A1,,noun,food and drink
breakthrough,B2,,noun,
breast,B1,,noun,body and health
breath,B1,AIR,noun,body and health
breathe,B1,,verb,body and health
breathtaking,B2,,adjective,describing things
breed,B2,,noun | verb,animals
breeze,B1,,noun,natural world
bribe,C1,,noun | verb,money
bribery,C2,,noun,
brick,B2,,noun,buildings
bride,B1,,noun,relationships
bridge,A2,STRUCTURE,noun,
brief,B1,SHORT,adjective,communication
briefly,B1,,adverb,
bright,A2,COLOR,adjective,describing things | people: personality
brightly,B2,,adverb,describing things
brilliant,B1,VERY BRIGHT | VERY INTELLIGENT,adjective,describing things | people: personality
brilliantly,B2,,adverb,people: personality
bring,A2,TAKE WITH YOU,verb,people: actions
brink,C2,,,
broad,B1,WIDE,adjective,describing things
broad-minded,C2,,adjective,
broadband,B2,,noun,technology
broadcast,B2,,verb,arts and media
broaden,C1,,None | verb,None
broadly,C1,,adverb,
broccoli,B1,,noun,food and drink
brochure,B1,,noun,communication
broken,A2,DAMAGED | NOT WORKING,adjective,describing things | technology
bronze,C1,PRIZE,adjective | noun,natural world
brother,A1,,noun,relationships
brother-in-law,B2,,noun,relationships
brown,A1,,adjective | noun,describing things
browse,B2,COMPUTING | LOOK,verb,shopping | technology
browser,B2,,noun,technology
bruise,B2,,noun,body and health
brush,A2,,None | noun | verb,None | people: actions
brutal,C1,,adjective,
bubble,C1,,noun | verb,
bucket,B1,,noun,
budget,B2,,noun,money
bug,B1,INSECT,noun,animals | body and health | technology
build,A2,,verb,work
builder,B1,,noun,work
building,A2,,noun,buildings | work
bulb,B1,,noun,technology
bulk,C1,,,
bulky,C1,,adjective,describing things
bull,B1,,noun,animals
bullet,B2,,noun,
bulletin,B1,,,
bully,C1,,noun | verb,people: personality
bump,B2,HURT,noun | verb,body and health
bumper,B2,,noun,travel
bun,B2,,noun,food and drink
bunch,B1,PEOPLE | THINGS,noun,describing things
bundle,C2,TIED GROUP,noun,
burden,C1,,noun,
bureaucracy,C2,GOVERNMENT | RULES,noun,
burger,A2,,noun,food and drink
burglar,B2,,noun,crime
burglary,B2,,noun,crime
burial,C2,,noun,
burn,B1,COOK TOO LONG | DESTROY | HURT BODY | PRODUCE FLAMES,verb,body and health | food and drink | technology
burning,B1,ON FIRE,adjective,
burst,B2,BREAK APART,verb,
bursting,None,None,,None
bury,B1,DEAD BODY,verb,people: actions
bus,A1,,noun,travel
bush,B2,,noun,natural world
business,A1,SELLING,noun,shopping | work
businessman,A2,,noun,work
businesswoman,A2,,noun,work
busy,A1,PERSON | PLACE,adjective,work
but,A1,,conjunction | preposition,communication
butcher,B1,,noun,food and drink | shopping | work
butt,C1,,noun,body and health
butter,A1,,noun,food and drink
butterfly,B1,,noun,animals
button,B1,ON CLOTHING | ON MACHINE,noun,clothes | technology
buy,A1,,verb,money | shopping
buyer,B1,,noun,money | shopping
buyers,None,None,,None
buzz,C2,ENERGY | EXCITEMENT | SOUND,noun | verb,
